iteration,value
0,-7.813428243286387
1,-50.419173043753005
2,-95.09598979362463
3,-121.73414200569343
4,-143.70457917017393
5,-170.4596227833963
6,-194.6319685504654
7,-218.4048396827883
8,-240.86785721346672
9,-265.9683197080247
10,-293.7188515754802
11,-316.6624839132926
12,-338.4087124902068
13,-358.49456270927794
14,-381.6953933941661
15,-405.23438303223173
16,-430.55896481897116
17,-461.11198894729165
18,-492.72059731996404
19,-525.1602637282546
20,-558.0978152359428
21,-591.7385152965244
22,-625.4304907427648
23,-661.218469825484
24,-700.1228995026432
25,-737.6798945395374
26,-776.2800001837654
27,-819.3357683328827
28,-865.158633626088
29,-915.3211115454405
30,-976.9538786466052
31,-1029.0814518970722
32,-1091.8316785249929
33,-1154.4985668521729
34,-1222.5531439794677
35,-1301.3257625104075
36,-1397.0528425606897
37,-1482.0773026422594
38,-1578.1139065127907
39,-1694.2275895383527
40,-1815.4281284925328
41,-1938.3915019101278
42,-2081.0037292572642
43,-2237.3510089791826
44,-2411.4982021327137
45,-2608.44694083011
46,-2808.775128212189
47,-3050.3323148818045
48,-3345.562735853703
49,-3597.8745599633858
50,-3899.2707486726813
51,-4182.62419691291
52,-4418.295408711818
53,-4642.150818115939
54,-4866.96159608149
55,-5071.3254762557535
56,-5280.277558981378
57,-5499.036510350684
58,-5706.586270132434
59,-5926.198553515425
60,-6160.89483013969
61,-6389.111958861208
62,-6634.35297721945
63,-6899.837780860774
64,-7160.306655375028
65,-7443.029875830891
66,-7750.70183087114
67,-8053.476521872992
68,-8385.098167434793
69,-8748.6924599552
70,-9107.906585998786
71,-9502.698708477037
72,-9936.826591802537
73,-10366.825599585489
74,-10840.485780121162
75,-11362.339331168485
76,-11880.104796159994
77,-12451.313564817721
78,-13081.44442021423
79,-13707.36650557831
80,-14398.655339247187
81,-15161.963724706962
82,-15920.875534237624
83,-16758.253591195717
84,-17682.55292931478
85,-18601.341672437662
86,-19603.968803585758
87,-20713.133692907955
88,-21812.75662421604
89,-22912.792571347956
90,-24146.011428452894
91,-25505.41629619388
92,-26975.563747905675
93,-28588.63661627976
94,-30192.99477489237
95,-31814.116960816624
96,-33621.754720249955
97,-35559.75757774527
98,-37534.3619453153
99,-39773.25920453409
100,-42313.672838395534
101,-44916.6237755396
102,-47887.33714815543
103,-50950.83983319797
104,-54469.74010886106
105,-58518.7779421437
106,-62732.224965181485
107,-67612.77732607415
108,-72722.4940991159
109,-78667.60044132499
110,-85577.70678914615
111,-92825.8413719846
112,-101244.2689699796
113,-108889.12274987272
114,-116859.00007743317
115,-125249.43383649558
116,-134989.31170004708
117,-145145.3825251836
118,-156805.372334485
119,-168829.32870241703
120,-182466.35493751455
121,-196363.8088448072
122,-211928.96024586307
123,-227606.58902983746
124,-244958.78058062046
125,-262250.69005534926
126,-281187.9284239833
127,-299883.4572119925
128,-320172.1213996534
129,-340043.95299466525
130,-358906.43411173334
131,-378299.3307538627
132,-398476.818684281
133,-419691.0886096239
134,-441615.5963719158
135,-462393.0185064849
136,-482687.04500294384
137,-502564.8523564845
138,-522082.3952025841
139,-543152.6525887997
140,-563697.7646130477
141,-583792.1360882095
142,-605404.9914741098
143,-626413.020975299
144,-648877.1104822936
145,-670605.495318569
146,-691711.7679168013
147,-714266.862868927
148,-736071.9030263848
149,-759270.5776349978
150,-781615.0210726776
151,-803075.6723479931
152,-823932.6577564881
153,-844274.6635875775
154,-864174.4583827937
155,-883692.386273435
156,-902878.9518049216
157,-921776.7662975984
158,-940422.0365282367
159,-958845.7194494931
160,-978858.4186180397
161,-998476.0450602927
162,-1017751.2098164308
163,-1038575.2579393287
164,-1058893.1608053672
165,-1078776.1194832735
166,-1098283.248953725
167,-1119536.221902267
168,-1142490.9180482032
169,-1166957.332303841
170,-1193103.3966078488
171,-1215688.009797876
172,-1238018.857084677
173,-1259846.157785162
174,-1283166.4206684618
175,-1310281.0591330149
176,-1338578.3212062104
177,-1371097.1790644152
178,-1404650.8944983762
179,-1439193.956944976
180,-1478321.098426718
181,-1518144.8380883737
182,-1558617.0686172436
183,-1599691.2671829395
184,-1645535.641050334
185,-1691567.3551802973
186,-1737768.9894774067
187,-1784124.628078011
188,-1835271.4831066404
189,-1886099.130905353
190,-1928994.6726092782
191,-1963795.5800390027
192,-1992951.5292744671
193,-2018823.4594858484
194,-2041536.4643715231
195,-2066161.7283771299
196,-2092839.5112898848
197,-2116413.52848111
198,-2137582.886093662
199,-2156423.0806338396
200,-2177496.185557956
201,-2198350.565157697
202,-2220898.9606825896
203,-2240937.5836336883
204,-2262716.4097843594
205,-2286172.977553566
206,-2311221.250190611
207,-2337757.31346906
208,-2365665.40439058
209,-2394823.6587649058
210,-2422495.5072242776
211,-2448953.4779490535
212,-2474406.556192511
213,-2501387.6780765587
214,-2527296.8677230477
215,-2552311.627737923
216,-2576572.6101296707
217,-2602480.848774357
218,-2627512.887178006
219,-2652760.3684293334
220,-2675163.8152239686
221,-2695632.7794801015
222,-2714312.379569308
223,-2734949.9842917947
224,-2753562.779496107
225,-2774034.38262053
226,-2792783.4567612894
227,-2811509.7312752036
228,-2832349.345877278
229,-2854931.0711627086
230,-2879189.1021711743
231,-2905078.790681375
232,-2930409.276041593
233,-2954901.3495306605
234,-2976675.474042928
235,-2997320.152606411
236,-3016933.4173726807
237,-3037579.8225998636
238,-3057179.8194348738
239,-3077796.586727213
240,-3099423.0604916755
241,-3122046.729308762
242,-3145649.90467712
243,-3170210.094595507
244,-3195700.4639749574
245,-3219590.0820753956
246,-3244402.775107041
247,-3270109.4232504913
248,-3296677.5515512014
249,-3324071.914769088
250,-3350523.438199859
251,-3378188.1191825964
252,-3406831.536683931
253,-3431859.4528612485
254,-3454337.5786831267
255,-3479525.3075229847
256,-3507444.2664355477
257,-3538057.774264531
258,-3571274.088027971
259,-3606953.978423655
260,-3644921.369689561
261,-3681496.370160735
262,-3720288.490164024
263,-3757556.3880897854
264,-3793551.3998609358
265,-3828472.9400198935
266,-3862481.6685810015
267,-3898917.3309797198
268,-3934216.477019403
269,-3968551.72367449
270,-4001330.829931468
271,-4029307.5932818158
272,-4053554.1959335357
273,-4080113.6486089737
274,-4103258.12864025
275,-4128063.847971756
276,-4150260.145287548
277,-4172546.260997749
278,-4192629.030297236
279,-4212771.973065673
280,-4231079.858238346
281,-4249349.070430457
282,-4269569.939967477
283,-4287860.087623118
284,-4308247.430940622
285,-4328524.8258315865
286,-4350528.2195993345
287,-4372297.4875758635
288,-4396086.501182796
289,-4416991.908799506
290,-4438268.881329259
291,-4459150.7479762
292,-4478320.794872548
293,-4495969.889009338
294,-4512055.096261095
295,-4530302.615210227
296,-4546855.481966685
297,-4565320.093192387
298,-4587693.619185544
299,-4612051.724086305
300,-4638523.088193065
301,-4670369.250659978
302,-4704777.596511168
303,-4741871.92450687
304,-4781769.270199077
305,-4824577.954512594
306,-4875340.063462795
307,-4929370.465168875
308,-4986724.294484146
309,-5047439.261455964
310,-5111534.8333240235
311,-5186192.046846363
312,-5264242.215370794
313,-5326922.8714423785
314,-5375599.50391625
315,-5422322.855206879
316,-5460724.03624533
317,-5493786.938121874
318,-5521717.576230325
319,-5549022.244692929
320,-5578283.619651752
321,-5609340.764499573
322,-5635931.799273732
323,-5659527.561532868
324,-5685197.329813432
325,-5712838.709303208
326,-5737203.344084042
327,-5763015.001297263
328,-5788247.847693976
329,-5812893.506924314
330,-5834803.1708118
331,-5860903.677491606
332,-5891810.858812891
333,-5928163.3718261495
334,-5970599.913433982
335,-6015062.304045001
336,-6061520.758153204
337,-6109935.354203414
338,-6165500.312263429
339,-6222761.877396506
340,-6281641.476503004
341,-6342057.528588538
342,-6403926.597074056
343,-6473642.451247641
344,-6544257.332155577
345,-6615701.394757492
346,-6673628.142694595
347,-6725281.331276057
348,-6767908.545460397
349,-6802744.524651578
350,-6832479.189830776
351,-6858200.584608415
352,-6885800.592485139
353,-6915187.162194978
354,-6943774.088488063
355,-6969740.721169836
356,-6992796.442021264
357,-7013270.742720877
358,-7033676.953222726
359,-7056171.071411027
360,-7077165.954437656
361,-7096836.779448736
362,-7117261.99448622
363,-7138417.401850675
364,-7160276.104187806
365,-7182808.985747442
366,-7205985.2005673135
367,-7227542.1731044855
368,-7249768.913918005
369,-7272635.054058971
370,-7296108.942762719
371,-7320158.103842701
372,-7344749.661610591
373,-7369850.7282900885
374,-7395428.747506281
375,-7418278.309797174
376,-7444019.259127215
377,-7472704.801192831
378,-7504325.094956372
379,-7538808.238171456
380,-7576026.383644871
381,-7615805.928254191
382,-7657940.145504534
383,-7702202.481443243
384,-7748358.96796516
385,-7792095.218266083
386,-7833860.485956857
387,-7873997.835926364
388,-7916472.249118732
389,-7953634.495220987
390,-7993381.393511012
391,-8029615.966187749
392,-8060082.6977152005
393,-8087394.503864261
394,-8112333.92001816
395,-8135453.9573966
396,-8157000.281107399
397,-8179257.337390857
398,-8200050.452698243
399,-8221580.448459431
400,-8243819.76287096
401,-8266738.646024708
402,-8290305.654466373
403,-8314488.135737947
404,-8339252.690007978
405,-8364565.598448751
406,-8387999.381686879
407,-8414504.3668192
408,-8441444.641380856
409,-8468789.084144987
410,-8495003.854039298
411,-8522529.094501164
412,-8551627.562812462
413,-8581976.24531309
414,-8608925.68168788
415,-8632586.918258172
416,-8653411.448919833
417,-8678227.022985019
418,-8707615.49445688
419,-8742175.991792066
420,-8782501.483670795
421,-8829150.036470246
422,-8882612.846095422
423,-8943282.308740206
424,-9005138.543501697
425,-9068103.281837838
426,-9132100.199567193
427,-9197055.446066272
428,-9269548.848430622
429,-9342333.516176075
430,-9408685.254273985
431,-9482584.6925978
432,-9540220.688275304
433,-9585984.257555004
434,-9623349.774725368
435,-9655465.081582038
436,-9683353.22573477
437,-9710702.394976288
438,-9739898.883150632
439,-9770339.655556358
440,-9802501.378167769
441,-9830539.522706848
442,-9857684.286931256
443,-9882243.337906063
444,-9906739.28818064
445,-9928788.042642932
446,-9951493.643600743
447,-9974671.916288046
448,-9996108.00286989
449,-10016045.320417082
450,-10034679.585127234
451,-10052170.50996671
452,-10070364.508122046
453,-10089241.412592918
454,-10108778.297104148
455,-10128949.902814182
456,-10149729.081691142
457,-10171087.241767177
458,-10192994.781011373
459,-10213338.626509428
460,-10234281.932919316
461,-10255795.782428358
462,-10277850.367089396
463,-10299847.023105677
464,-10324263.331800906
465,-10351645.538434902
466,-10382026.442725163
467,-10415375.984349886
468,-10451604.030156666
469,-10490567.869870435
470,-10532083.16861454
471,-10572118.791583445
472,-10610910.085692242
473,-10648645.817504214
474,-10685479.485870585
475,-10725031.687301736
476,-10760018.689481825
477,-10794474.312635846
478,-10831786.642714132
479,-10865009.463338682
480,-10901093.199109973
481,-10933144.379130144
482,-10964672.283829026
483,-10993284.041504912
484,-11018766.522364166
485,-11045999.903745275
486,-11076897.879946286
487,-11106395.336138409
488,-11140152.327045396
489,-11174977.817092244
490,-11211565.94804554
491,-11246811.344034526
492,-11285115.144420544
493,-11320217.793433767
494,-11354753.041264027
495,-11388793.086419022
496,-11422399.436724251
497,-11455624.803300753
498,-11488514.595558126
499,-11521108.114392024
