iteration,value
0,35.48623009418556
1,201.32146365285885
2,48.065182511605876
3,26.45687551647128
4,-2.9874976304279315
5,-8.686325249327652
6,-9.80558333890922
7,-10.028768296037871
8,-10.112204327716947
9,-10.192163650436404
10,-10.301814770231925
11,-10.462623441631377
12,-10.695170617701992
13,-11.031412901491803
14,-11.497511937723832
15,-12.12862322968189
16,-12.8878558262469
17,-13.706880637000314
18,-14.50282797783387
19,-15.250036439019004
20,-15.940646902734468
21,-16.561240528478997
22,-17.154571687782635
23,-17.737802564886792
24,-18.33441519090246
25,-18.918786739021662
26,-19.457195037634904
27,-19.97956387931389
28,-20.4723741032194
29,-20.955375353166076
30,-21.45097515574966
31,-21.959622896780573
32,-22.473278244538186
33,-22.956900135695303
34,-23.43321011087209
35,-23.93539235621447
36,-24.4264187527782
37,-24.960147699848985
38,-25.516572575263808
39,-26.06111132925793
40,-26.571041852672046
41,-27.0646288641862
42,-27.563262516391255
43,-28.06755144814304
44,-28.56762098628801
45,-29.003798511176296
46,-29.43201696144835
47,-29.84886086092595
48,-30.242910402788535
49,-30.63479677750148
50,-31.041740459199485
51,-31.451366083969425
52,-31.817553901485766
53,-32.142810928155235
54,-32.43469078386185
55,-32.70400990601496
56,-32.962183195562986
57,-33.2200930568433
58,-33.51608564384681
59,-33.83653497276315
60,-34.23398206581811
61,-34.69547472151352
62,-35.23413581654664
63,-35.84985493703497
64,-36.591010283799946
65,-37.43248448243746
66,-38.33123519327365
67,-39.25462778671487
68,-40.16650465741718
69,-41.14040748170372
70,-42.032460094012905
71,-42.91941204209218
72,-43.79308866504709
73,-44.65156777357227
74,-45.448220724937435
75,-46.278804166798814
76,-47.27901241837306
77,-48.16457582899011
78,-49.14662173030559
79,-50.15375707278687
80,-50.88658212463954
81,-51.56365321559253
82,-52.23378413349913
83,-52.8249725637266
84,-53.36317864485676
85,-53.79394710692122
86,-54.266806874414605
87,-54.70819038790437
88,-55.07578499949278
89,-55.46392137645505
90,-55.86216180669085
91,-56.28305883594129
92,-56.72208460740307
93,-57.24350066667045
94,-57.71867151741862
95,-58.202557429302836
96,-58.759500809645104
97,-59.35609683896178
98,-59.974320963638746
99,-60.73513204206626
100,-61.5396334113636
101,-62.46478357584112
102,-63.45445785627063
103,-64.6874288889847
104,-65.86868738073342
105,-66.98591118919707
106,-67.88328121741829
107,-68.88415157559562
108,-69.84909109376062
109,-70.5525589743352
110,-71.18939684357719
111,-71.79402604389895
112,-72.4356345219454
113,-73.07094067240958
114,-73.7141960754298
115,-74.23833932417936
116,-74.72663277792272
117,-75.23184516750305
118,-75.68713137028136
119,-76.15402588344679
120,-76.6389328448606
121,-77.14854403852426
122,-77.6910242924707
123,-78.27507529906887
124,-78.90901282418683
125,-79.6001969610654
126,-80.35339638876285
127,-81.10131511053739
128,-81.82575567961321
129,-82.56692528053743
130,-83.29477526196649
131,-83.98229389351188
132,-84.56383394409697
133,-85.10727296206122
134,-85.61440612725977
135,-86.1857282005705
136,-86.74013912644132
137,-87.28863548243041
138,-87.96758677550972
139,-88.8383838092325
140,-89.96648946617074
141,-91.38407252116406
142,-93.04960724080209
143,-94.86573258189506
144,-96.54909452724526
145,-97.98520725247839
146,-99.19412736580426
147,-100.31667788793943
148,-101.38749076230549
149,-102.50580187963018
150,-103.69879712016997
151,-104.56484505390236
152,-105.42403798054764
153,-106.265959284237
154,-107.24713169143754
155,-108.31580271306638
156,-109.41551712829641
157,-110.63578790550659
158,-111.93292322990763
159,-113.32018391071956
160,-114.95118024830295
161,-117.08765634331533
162,-119.89900050716739
163,-123.434574020021
164,-127.44312099099656
165,-130.61046261041267
166,-133.73115017072436
167,-137.7545891821673
168,-135.66477629962355
169,-90.88491940916106
170,294.19188320691393
171,3970.461528258099
172,189.83109725171676
173,-152.33216019111703
174,-158.46889547014848
175,-159.42224356849152
176,-160.07886101418362
177,-160.71176893211884
178,-161.2673125576841
179,-161.8593635577056
180,-162.5103664198022
181,-163.09323640647744
182,-163.7612310397895
183,-164.2994214333025
184,-164.9263749551498
185,-165.47114518940305
186,-166.0856490478779
187,-166.75785520628597
188,-167.52466915898523
189,-168.18062186922398
190,-168.86937354652818
191,-169.68322276913926
192,-170.5342557319961
193,-171.43337295620643
194,-172.33250440828087
195,-173.22049708218103
196,-174.09339524692066
197,-174.95160191799758
198,-175.79720959430523
199,-176.63206869621044
200,-177.4566737589529
201,-178.26987126896228
202,-179.0691784499791
203,-179.85138606829153
204,-180.57819276937576
205,-181.27799605226897
206,-181.95104777601998
207,-182.59213494139988
208,-183.14046146741808
209,-183.687061539539
210,-184.20149093455186
211,-184.59723015322137
212,-185.0652008571578
213,-185.5202363803997
214,-185.88591216357895
215,-186.41732339653555
216,-186.92932247348787
217,-187.42783963145715
218,-187.8434181940039
219,-188.31249011570173
220,-188.88644677981875
221,-189.5270375021765
222,-190.12760919335898
223,-190.76653130472167
224,-191.55493087652943
225,-192.48670303670113
226,-193.42139655743318
227,-194.3546481370083
228,-195.55258644916125
229,-196.55948034531414
230,-197.81923116916738
231,-199.12295676931336
232,-200.46254404153532
233,-201.90953894014163
234,-203.17139210917387
235,-204.50243754132936
236,-206.05733056921514
237,-207.31766722374465
238,-208.5773226523085
239,-209.81464133073672
240,-211.02381078191456
241,-212.23318687242624
242,-213.52902767171776
243,-215.01146991172044
244,-216.67949251264693
245,-218.4798487367643
246,-220.53226854486923
247,-222.897667769102
248,-225.35482707629828
249,-227.66325503588516
250,-229.84402557981207
251,-231.8895446764617
252,-233.78467949682081
253,-235.5178312016238
254,-237.0483989915337
255,-238.2131279815138
256,-239.21905517878685
257,-240.188970933034
258,-240.96230979315172
259,-242.0722836110386
260,-242.77021875238808
261,-243.82692869396496
262,-244.82063360460734
263,-245.76932595446587
264,-246.7243510452698
265,-247.72241991283425
266,-248.78857245125158
267,-249.93778905930083
268,-251.17237475761567
269,-252.48177875097403
270,-253.8457766726101
271,-255.2407451018847
272,-256.6471651895567
273,-258.0547833168413
274,-259.4621369646653
275,-260.8709290362105
276,-262.40024466974535
277,-264.0645728789185
278,-265.6677404547679
279,-267.0021208149039
280,-268.1295260244316
281,-269.1633438128434
282,-270.0826142874555
283,-270.9817563201675
284,-271.89756353772907
285,-272.8478747004108
286,-273.76740093976707
287,-274.79183033383003
288,-275.89397944862833
289,-277.05841905653324
290,-278.2114925060673
291,-279.47557248367394
292,-280.8290488733866
293,-282.34824329782765
294,-283.791073021997
295,-285.3709365439829
296,-286.6818293296243
297,-288.5682969380258
298,-290.24605226636015
299,-291.6073886370904
300,-293.003440821824
301,-294.31956703436936
302,-295.675633903878
303,-296.83838031655125
304,-297.72116512968455
305,-299.0078401230779
306,-300.3137906009142
307,-301.62672284725465
308,-303.004532915515
309,-304.1017453182086
310,-305.49698415542736
311,-307.0539925683747
312,-308.7488194679032
313,-310.19087129839806
