iteration,value
0,4193.815043574951
1,4175.497757956313
2,4154.340202358767
3,4150.766202372538
4,4150.404531723644
5,4150.378423108414
6,4150.376204215554
7,4150.376013056225
8,4150.375988755618
9,4150.375984799596
10,4150.375983982533
11,4150.375983809716
12,4150.375983766269
13,4150.375983753631
14,4150.375983749387
15,4150.375983748075
16,4150.375983747769
17,4150.375983747538
18,4150.375983747437
19,4150.375983747359
20,4150.375983747324
21,4150.375983747274
22,4150.375983747244
23,4150.375983747225
24,4150.375983747205
25,4150.375983747194
26,4150.375983747185
27,4150.375983747176
28,4150.375983747171
29,4150.375983747167
30,4150.375983747164
31,4150.375983747162
32,4150.375983747161
33,4150.37598374716
34,4150.375983747159
35,4150.375983747158
36,4150.375983747158
37,4150.375983747157
38,4150.375983747157
39,4150.375983747157
40,4150.375983747157
41,4150.375983747157
42,4150.375983747157
43,4150.375983747157
44,4150.375983747156
45,4150.375983747156
46,4150.375983747156
47,4150.375983747156
48,4150.375983747156
49,4150.375983747156
50,4150.375983747156
51,4150.375983747156
52,4150.375983747156
53,4150.375983958926
54,4150.37598427713
55,4150.375984291896
56,4150.375983858953
57,4150.375983763267
58,4150.375983748885
59,4150.375983748325
60,4150.375983748049
61,4150.375983747646
62,4150.375983747421
63,4150.37598374737
64,4150.375983747303
65,4150.375983747282
66,4150.375983747246
67,4150.375983747212
68,4150.375983747193
69,4150.375983747182
70,4150.3759837471725
71,4150.375983747169
72,4150.375983747165
73,4150.375983747164
74,4150.375983747162
75,4150.375983747161
76,4150.375983747159
77,4150.375983747159
78,4150.375983747158
79,4150.375983747157
80,4150.375983747157
81,4150.375983747157
82,4150.375983747157
83,4150.375983747157
84,4150.375983747157
85,4150.375983747156
86,4150.375983747156
87,4150.375983747156
88,4150.375983747156
89,4150.375983747156
90,4150.375983747156
91,4150.375983747156
92,4150.375983747156
93,4150.375983747156
