iteration,value
0,18.522136608117947
1,138.22751534590577
2,0.6309815792026998
3,0.007496473427802902
4,0.00014198666714079693
5,7.951459499204068e-06
6,7.87766699532852e-07
7,1.1269549920582448e-07
8,2.0927533577993727e-08
9,4.729609792313986e-09
10,1.2466914451008098e-09
11,3.720595003123564e-10
12,1.2301785069364716e-10
13,4.433258056293706e-11
14,1.7193988956050572e-11
15,7.10521082545174e-12
16,3.1032492508127026e-12
17,1.4230693654801439e-12
18,6.814370529315382e-13
19,3.3917186223672616e-13
20,1.747902033030648e-13
21,9.295473602308955e-14
22,5.086707344576929e-14
23,2.8571345832890964e-14
24,1.643643874537706e-14
25,9.665771378413969e-15
26,5.800724962184566e-15
27,3.547253641730958e-15
28,2.2074145670208625e-15
29,1.3961599978738642e-15
