iteration,value
0,1.975431848605919e+30
1,1.3380085322499413e+28
2,1.1909411435838938e+28
3,1.0662316148432564e+28
4,8.941466088481798e+27
5,5.720252524940638e+27
6,5.71890865731728e+27
7,5.71830734701522e+27
8,5.668163815593833e+27
9,5.557551069901509e+27
10,3.4210090091972845e+27
11,3.420393302356141e+27
12,3.410194705162068e+27
13,3.406671886150458e+27
14,3.712554075847237e+27
15,3.73404628960444e+27
16,4.8522416285039245e+27
17,5.021093943337181e+27
18,5.17863465491898e+27
19,5.342779771596592e+27
20,1.865357333884589e+28
21,1.8930719992810727e+28
22,1.923023884830968e+28
23,1.9206648256981826e+28
24,1.9198861568799337e+28
25,1.9182050897081732e+28
26,1.949116313619082e+28
27,1.9619073997326471e+28
28,1.268096688858568e+28
29,1.2681016279520607e+28
30,1.2681069295416772e+28
31,1.2681088013890334e+28
32,1.2681143259464642e+28
33,1.2681208453715044e+28
34,1.2700749155941126e+28
35,1.2718551729017443e+28
36,1.2738701251219552e+28
37,1.2738930780256322e+28
38,1.273399768102713e+28
39,1.2731103943395675e+28
40,1.272626062333778e+28
41,1.2720502966835181e+28
42,1.2854359751131311e+28
43,1.2932134354001645e+28
44,1.2996074223587736e+28
45,3.445721323789591e+28
46,3.4534260190370023e+28
47,3.4533067918193864e+28
48,3.4531737858686727e+28
49,3.452549146538662e+28
50,3.4514897175330143e+28
51,3.163014579245894e+28
52,2.848546017297296e+28
53,2.8484138074741365e+28
54,1.4960136459850468e+28
55,1.2223893266495981e+28
56,1.3842472838739209e+28
57,6.493938209424546e+29
58,6.49391875140613e+29
59,6.493934050818708e+29
60,6.538988175853402e+29
61,8.934436934872156e+29
62,8.927112657902934e+29
