iteration,value
0,1209.8869174258418
1,22959775158.20682
2,4441946945574.755
3,4.314089213966755e+16
4,10602612150492.123
5,10386233237246.705
6,9876302095882.291
7,9300329671409.402
8,8660547010628.647
9,7963001361524.176
10,7219563066713.408
11,6446263312391.751
12,5661557571302.584
13,4961090771334.057
14,4271325155322.567
15,3613332072388.892
16,3059844004056.5986
17,2545430881705.696
18,2080698637586.2732
19,1711274134722.826
20,1383779422573.3977
21,1100911117301.242
22,885743191287.2117
23,700537664787.5658
24,546506276314.6409
25,431967372273.8819
26,335112054974.47076
27,255700361817.8952
28,200239378451.16412
29,154306579287.0719
30,121093878185.76825
31,93125665680.5014
32,69794663944.55789
33,51504939381.068085
34,38821030877.71916
35,28224472712.445297
36,18129176722.25423
37,13473986527.135698
38,10364046890.806042
39,7841201527.584404
40,5742537082.974999
41,4075930115.6779284
42,3098682854.3606873
43,2253106540.297966
44,1488845972.0267787
45,1114080030.3470192
46,794235151.6665465
47,345528629.7821616
48,185314258.86239013
49,118318917.4587783
