iteration,value
0,23496.78084746872
1,2228855.8276147973
2,20610860.51196224
3,47902003311.8416
4,7185897075803.213
5,586139397101.1008
6,336240104658.2877
7,123134179375.32066
8,64606420284.92849
9,37136993165.039116
10,22272191910.532825
11,13830500078.676138
12,8751688951.672321
13,5586736103.610458
14,3613960310.426457
15,2355942682.642678
16,1609707295.1976779
17,1091212796.6904578
18,766491401.3847075
19,531663017.8602636
20,380233337.8084902
21,268476619.12669164
22,194184624.66143185
23,138267866.17953143
24,100647191.36447635
25,72097906.07506143
26,52760669.057158664
27,39263571.483228765
28,29593447.36259206
29,21837044.099844664
30,16345945.251282671
31,12377708.180720594
32,9463470.78084645
33,7285512.186669139
34,5650676.075336635
35,4406293.637850176
36,3448933.7455022032
37,2710651.493465179
38,2139947.6288193935
39,1693989.6796844208
40,1344673.583156553
41,1070020.5869916885
42,852819.0262262698
43,680145.6113544403
44,542039.9489559875
45,433723.4069624184
46,347668.55479086534
47,278488.81757828535
48,222641.71888042474
49,178732.95033806906
