iteration,value
0,18771.65988158994
1,5.535515444450017e+31
2,1.2476379837353996e+23
3,1.247636737922533e+23
4,1.247633601854175e+23
5,1.2476296009447561e+23
6,1.2476245517990833e+23
7,1.2476179750739268e+23
8,1.2476102568712975e+23
9,1.2476007758664779e+23
10,1.2475885822418109e+23
11,1.2475734237610365e+23
12,1.247550952638943e+23
13,1.2475275200395155e+23
14,1.2475024175023671e+23
15,1.2474635417255192e+23
16,1.2474258435683046e+23
17,1.2473716338704862e+23
18,1.2472785119627537e+23
19,1.2471859803589771e+23
20,1.2470648087847108e+23
21,1.2468956682964963e+23
22,1.2466663411219697e+23
23,1.2462317490229131e+23
24,1.245968754338818e+23
25,1.2454384058363718e+23
26,1.2429948761923713e+23
27,1.2415841261425972e+23
28,1.239118215408111e+23
29,1.2352026406434172e+23
30,1.229564286459691e+23
31,1.2188407091933922e+23
32,1.211955399352193e+23
33,1.1800561973944832e+23
34,9.507504653846045e+22
35,9.203516472601492e+22
36,8.773172577876437e+22
37,5.318596655254873e+21
38,3.9487587525239285e+21
39,3.2346218170837086e+21
40,3.1879223077725117e+21
41,3.0784727619939766e+21
42,3.0082364187294066e+21
43,4.9370403979802785e+20
44,4.885734076487955e+20
45,1.333574714249973e+20
46,1.3338327442759673e+20
47,1.307339856093426e+20
48,3.862581211218966e+19
49,3.8525429995072455e+19
