iteration,value
0,38475.93650546165
1,1236529.4692822022
2,32532682.61477343
3,1324574789530.031
4,32837521319793.785
5,5066184852226.229
6,3055714725448.871
7,1214292403280.082
8,674634827664.1948
9,409213841581.6785
10,256278808535.21066
11,164742429975.4403
12,107245136704.23654
13,70069970465.06651
14,46400510401.83722
15,30935393046.813297
16,21489352895.709015
17,14763812284.356117
18,10068112779.595228
19,7099365171.197253
20,4960469184.113532
21,3439236711.105522
22,2453941108.2635555
23,1728538367.5188699
24,1248180042.746001
25,889119862.8871177
26,648279762.6476392
27,465276006.68701947
28,340963612.6878786
29,245563746.49752423
30,180643327.48139092
31,135075060.6642085
32,102361033.9476293
33,78401642.92661875
34,58850899.21577161
35,44784071.96769496
36,34447089.0272375
37,26768704.891262986
38,21000217.434119366
39,16591628.100538261
40,13200833.814824518
41,10563654.73586158
42,8495210.996825602
43,6859883.230573045
44,5558585.303939128
45,4523396.081195538
46,3693013.1830166657
47,3014831.461482836
48,2467079.2198257055
49,2022097.3014207853
