iteration,value
0,301.0494437445066
1,6666.371855557247
2,7502.611593799329
3,4208.3322994038035
4,3449.818846673326
5,3148.4819892736577
6,121.35442535079609
7,-213.2723115337704
8,-254.60357259237244
9,-267.9514961875649
10,-274.91602972632415
11,-285.4883221871439
12,-295.3329209664887
13,-304.95456511041175
14,-315.5541381707051
15,-330.8962414009989
16,-358.97618982953645
17,-386.2819458135033
18,-397.36295467712574
19,-398.92166444318076
20,-399.1731827393787
21,-399.2754738838284
22,-399.37638396251094
23,-399.4789537011007
24,-399.5870076629403
25,-399.70201021380467
26,-399.95917054982823
27,-400.2755489835039
28,-400.6603636428248
29,-401.10323101801794
30,-401.6147308371627
31,-402.13448604696066
32,-402.57201083406164
33,-402.8689835776715
34,-403.02225728578935
35,-403.0984824171809
36,-403.1392063691154
37,-403.16404956685597
38,-403.1823176594364
39,-403.1983786979434
40,-403.2144061758435
41,-403.2315810808554
42,-403.2528941305738
43,-403.28045081749383
44,-403.3172963448273
45,-403.36779767986263
46,-403.43930461129395
47,-403.54379342400557
48,-403.6993295699515
49,-403.9362984270826
50,-404.29811960166614
51,-404.81544812465506
52,-405.49905524816063
53,-406.385047586877
54,-407.3977830830162
55,-408.359955543498
56,-409.32924954639594
57,-410.2056798667473
58,-411.0316241262808
59,-411.86498182004465
60,-412.67601142693115
61,-413.4480346414215
62,-414.1978082458155
63,-414.96768893568304
64,-415.824373905845
65,-416.71702350119955
66,-417.5632953262756
67,-418.5047776161493
68,-419.51866748754276
69,-420.437710147245
70,-421.3657564831233
71,-422.3066011991948
72,-423.1771950522631
73,-424.01828801200946
74,-424.88319035541116
75,-425.8326297804474
76,-426.8225666636793
77,-427.95062198994276
78,-429.1317486169005
79,-430.5409589077143
80,-432.25426107048276
81,-434.6055349711618
82,-437.19392753016456
83,-439.53023144831076
84,-441.905711979215
85,-443.99694691516396
86,-445.97479780619796
87,-447.77624046494554
88,-449.6096396071893
89,-451.4407196704107
90,-453.2320589307634
91,-454.3962696968805
92,-455.47727562609407
93,-456.67125024416066
94,-457.75108835498247
95,-458.92131309736607
96,-460.96400607944037
97,-463.1593557618668
98,-465.3207349472933
99,-467.67239948106794
100,-470.1843948097953
101,-472.92039950671693
102,-475.9174872307604
103,-479.4115269361308
104,-482.92411177355496
105,-485.9841288223109
106,-489.27656936843556
107,-492.47870762991863
108,-495.11712469717725
109,-497.8077200911165
110,-500.526816621128
111,-503.3898008294659
112,-506.35028625865436
113,-509.20506209415765
114,-512.15184881924
115,-514.9773917760867
116,-517.7055904556545
117,-520.3427158470395
118,-523.1808776177056
119,-526.3412590207363
120,-529.9055992916037
121,-533.776741729133
122,-537.782772576256
123,-541.8309917404245
124,-545.9638777593299
125,-550.2301588439079
126,-554.7269493394376
127,-559.2171754320714
128,-563.4990203574916
129,-567.8068566916791
130,-571.6957837052818
131,-575.5427017255204
132,-579.4544886493944
133,-583.34390069299
134,-587.2176083818075
135,-591.0699271866962
136,-594.8710980458262
