iteration,value
0,162579.7218573127
1,468390551.71322227
2,24550520951.174458
3,1001648753.0876797
4,238052461.4402071
5,65504000.260849565
6,35661421.97209006
7,22231798.24450339
8,14857113.146554781
9,10374760.874407763
10,7723198.08424041
11,5981021.548334422
12,4641609.789202732
13,3699345.9219855755
14,3003817.967500133
15,2476043.532043782
16,2058788.299526155
17,1729331.2177761784
18,1460972.6770245181
19,1217429.1059679803
20,1020575.0476130858
21,861595.7974735682
22,729359.4551695498
23,620300.0979230946
24,529594.0671451065
25,452210.94882136205
26,386877.5297282302
27,330384.12578558514
28,283796.55566887587
29,244025.8722162342
30,210533.17143085567
31,181481.93150681455
32,156237.26032455763
33,134329.9521165335
34,115984.47729212587
35,100006.89433291247
36,86032.98104210598
37,74429.10257934156
38,64667.55184632273
39,56235.925147561946
40,48962.20220031054
41,42530.20240217944
42,37169.50394071241
43,32456.266822296748
44,28441.782782188086
45,25085.049465359956
46,22171.75274375755
47,19571.95807954101
48,17255.741385775145
49,15360.552598202747
50,13686.99055539859
51,12527.095477400957
52,11460.958662374309
53,10533.641057329325
54,9702.588507012013
55,5710.046432769863
56,4905.328862148823
57,4692.633559869798
58,4570.301345711476
59,4509.7475380787755
60,4461.65866179463
61,4418.095771815596
62,4372.195470175075
63,4318.273072815331
64,4267.142036879242
65,4214.676586672851
66,4159.306771440474
67,4099.65357140625
68,4041.0479529840986
69,3967.2287002645094
70,3901.447359090472
71,3828.7870123636526
72,3768.186891081795
73,3698.8126919056836
74,3627.6972087738473
75,3554.889503943631
76,3478.568454705986
77,3395.8554745285996
78,3314.335878479728
79,3213.7818938581063
80,3125.6380362875457
81,3043.128721088182
82,2952.2858457952107
83,2856.8193225078526
84,2759.7590505519406
85,2679.0933391039475
86,2600.256008749209
87,2504.6131623520237
88,2408.0758917411385
89,2326.2458967671296
90,2232.42191177131
91,2153.6950714866493
92,2057.28000097989
93,1967.5473952740563
94,1875.1219050457908
95,1792.0636915176233
96,1701.597359459465
97,1628.6499173827547
98,1557.1277380625436
99,1475.6601767026414
100,1411.0100967724034
101,1348.9944062973834
102,1285.2558389428066
103,1232.715364867404
104,1171.1898169876517
105,1113.505631702931
106,1050.712957522618
107,988.0839903975663
108,920.4113901605785
109,867.9734811956765
110,814.5873382551754
111,767.469670989832
112,721.6406947694162
113,667.526228441863
114,621.8109196273299
115,569.9145539607593
116,520.5507393901543
117,475.0021256641235
118,433.45020392342883
119,397.7032254412498
120,358.03530704790313
121,320.1564520379592
122,276.87049839798414
123,242.2458177368003
124,211.94098542973398
125,183.40227215031376
126,158.0114924072947
127,133.60681037665515
128,108.68169197165392
129,86.35628423213143
130,67.19713870580917
131,51.759037590043675
132,39.71797495244911
133,29.784592927885345
134,21.69896822821677
135,15.888124344924664
136,11.632902244527076
137,8.636922667192193
138,6.513927146139168
139,4.994321035463154
140,3.920150667652394
141,3.084011459723997
142,2.511122703899659
143,2.1188017492681257
144,1.8455274216882125
145,1.655803342352884
146,1.522969890448922
147,1.4294796361542519
148,1.3561295199668428
149,1.3053979760545014
150,1.2697551263625206
151,1.2443801645164183
152,1.2257642999548741
153,1.2117911413812787
154,1.2009915412219205
155,1.1923817431989088
156,1.1852719101857625
157,1.179222333409581
158,1.173928329802556
159,1.1691794937327786
160,1.1648179641261815
161,1.1607446312203828
162,1.1568870941089504
163,1.1527966608094011
164,1.1484386538190043
165,1.1442377587387709
166,1.1397111782406317
167,1.1348298722865813
168,1.1295609868338876
169,1.12387150226804
170,1.117729824476328
171,1.111102258886193
172,1.1046658866047836
173,1.0977222898103118
174,1.090260886364496
175,1.082254267090652
176,1.0736810354034654
177,1.0654213092472542
178,1.0574550465112291
179,1.0489374211792861
180,1.0398583852195724
181,1.0302085357920385
182,1.0199866443669967
183,1.0091907187533289
184,0.9978239521341147
185,0.9858998679130074
186,0.9734337388348072
187,0.9604438723622506
188,0.946955800558548
189,0.9329868481393573
190,0.9171065782002579
191,0.9009127595198269
192,0.8844241055112604
193,0.8660468550228061
194,0.8456777661846496
195,0.8236266258409247
196,0.7995722307967923
197,0.7754806125128352
198,0.7526909761377847
199,0.7290833920552259
200,0.7047339639653046
201,0.6823271960435789
202,0.6589104168017532
203,0.6447969053063758
204,0.6251014304179296
205,0.605429586907911
206,0.5818856058575889
207,0.5807470707198336
208,0.5713147914982404
209,0.5628863933760122
210,0.5559867558292939
211,0.5486928570538689
212,0.5434798953230996
