iteration,value
0,18771.65988158994
1,962275768982.7037
2,331664511.76560885
3,327636595.7135865
4,318951710.1617668
5,309836772.9951929
6,299255393.30248386
7,287462041.5733667
8,274688278.91249883
9,262362184.8641476
10,248453605.03127465
11,235241186.79349405
12,220236513.59383345
13,206339966.7870396
14,193344918.64558592
15,180600702.91933477
16,167282574.74466667
17,154079244.65907985
18,142029211.8898322
19,130091366.35616997
20,117811197.46121898
21,106824759.8034265
22,97412702.56069353
23,88454977.76747285
24,81231218.61861792
25,74198476.77950472
26,65881518.17047289
27,59560217.72010241
28,52769593.36975253
29,46611443.02808794
30,41492034.24821831
31,37321692.96512044
32,33626430.825896345
33,29630332.622785244
34,25970064.144227684
35,23199542.66241255
36,20630975.730193008
37,17018663.895856798
38,15082205.010049412
39,13581875.530920241
40,12084124.796175275
41,10844599.632055454
42,9830782.352707112
43,8618241.089178825
44,7861350.925241219
45,6984385.486499831
46,6361319.678653856
47,5830116.449357765
48,5338039.424198424
49,4883499.546967669
