iteration,value
0,936.6660926700246
1,16382.464870963586
2,338398.12464584113
3,41878.220084822584
4,1585.8080280619295
5,505.39986981597195
6,274.9567374990003
7,176.6897712035216
8,124.26470209787308
9,92.62847948224967
10,71.93712563020523
11,57.517108064276115
12,47.127742396354094
13,39.21707758019619
14,33.11406294669764
15,28.291342417707895
16,24.38265639821273
17,21.16731644414227
18,18.498345231482336
19,16.22118558789938
20,14.281708538861912
21,12.63518201714521
22,11.197414635811706
23,9.932281176610973
24,8.831661551157588
25,7.83879744500545
26,6.948906150866077
27,6.1358277001463435
28,5.405452447875781
29,4.757543215874771
30,4.1649605981411515
31,3.6362589075634473
32,3.160884914884678
33,2.753721979651343
34,2.4342600305596074
35,2.1351028722958625
36,1.9061202487311943
37,1.6919383926578182
38,1.495261978764223
39,1.308972783606285
40,1.1597252361686217
41,1.0264303087503976
42,0.8995939684434422
43,0.8027519780959721
44,0.725340296290468
45,0.6484116218680891
46,0.5761310113730705
47,0.5083588717500076
48,0.4475393742544629
49,0.4012551057663055
50,0.3565467177584086
51,0.31342581672796704
52,0.27181315671301376
53,0.2362210153741
54,0.2126693655639125
55,0.1865155614848031
56,0.16569562168300125
57,0.14540863241561883
58,0.13148779324095994
59,0.11687319698529826
60,0.1039204546202475
61,0.09124789404745641
62,0.08174451324373933
63,0.07262976862505967
64,0.06443752884747025
65,0.05785250808399018
66,0.05223601546081651
67,0.04744929490084026
68,0.04276864157960539
69,0.03829102932260598
70,0.03429859754382888
71,0.030228379204268817
72,0.026597068766233647
73,0.023935047034794137
74,0.021394528816857106
75,0.018787072156585375
76,0.016918495913474215
77,0.014951730427317398
78,0.013438488545128267
79,0.012031730972483732
80,0.010434373519660603
81,0.009009591590477399
82,0.0079201035699221
83,0.006992495936032504
84,0.006024601296998255
85,0.005070487337015296
86,0.004423825606281709
87,0.003861161887052045
88,0.0033496109580682097
89,0.002970753677260483
90,0.002567231552095879
91,0.00218178145113473
92,0.0018849803962872817
93,0.001621259488015098
94,0.0014145167143897693
95,0.0012342018238012085
96,0.0011084812661679188
97,0.0009490596063270625
98,0.0008498175203452296
99,0.0007672312144085515
100,0.0006913531079426229
101,0.0006024703159141658
102,0.000521081071940372
103,0.00045268895151996614
104,0.00039195834815903115
105,0.0003449619980844907
106,0.00030078998213418706
107,0.0002521410102232816
108,0.0002041897113084751
109,0.0001768168026902578
110,0.00014878456847548753
111,0.0001253522544544198
112,0.00010573048702844059
113,8.742951599766245e-05
114,7.376283359166431e-05
115,5.895773040261686e-05
116,4.810551397132769e-05
117,4.114627579057103e-05
118,3.6583836720679334e-05
119,3.1507806909052625e-05
120,2.6906601956748475e-05
121,2.428415465148075e-05
122,2.0837159313478815e-05
123,1.7474118745962125e-05
124,1.550438627106737e-05
125,1.2740603193739476e-05
126,9.87440176311165e-06
127,8.474215970937735e-06
128,7.014356309573003e-06
129,5.823224056657609e-06
130,5.060721305737492e-06
131,4.387556414319414e-06
132,3.864026592703373e-06
133,3.1991700217099858e-06
134,2.7679619250066114e-06
135,2.3447396288610106e-06
136,1.968999155864617e-06
137,1.6993445818397965e-06
138,1.4355133741288853e-06
139,1.250484940548883e-06
140,1.1155347231093592e-06
141,9.851923236571857e-07
142,8.66848789679932e-07
143,7.751133726131737e-07
144,6.855335905215295e-07
145,6.024637450001322e-07
146,5.259251480612177e-07
147,4.708566623749042e-07
148,3.954196932015415e-07
149,3.4549815263265085e-07
150,3.0630831879660525e-07
151,2.7113363066568087e-07
152,2.4510556545574e-07
153,2.1782358931664762e-07
154,1.9347628743825867e-07
155,1.7284290523148898e-07
156,1.5436941767747122e-07
157,1.3971160512704316e-07
158,1.241854538157216e-07
159,1.1010215583438719e-07
160,9.986614129106386e-08
161,8.92660279315309e-08
162,7.8744728724792e-08
163,7.195240301317941e-08
164,6.440994301150511e-08
165,5.845626827654986e-08
166,5.382799776394915e-08
167,4.8402151223156585e-08
168,4.312266714905343e-08
169,3.7935591068712955e-08
170,3.412733810902655e-08
171,3.0293590042106135e-08
172,2.6605622776573543e-08
173,2.2098231159629336e-08
174,1.850334327005242e-08
175,1.6015350398204936e-08
176,1.4018090568408524e-08
177,1.2238255115958675e-08
178,1.0152373006183428e-08
179,8.722228696042902e-09
180,7.62061385390688e-09
181,6.59272074525551e-09
182,5.656543139199253e-09
183,4.961757489863091e-09
184,4.327087284201712e-09
185,3.6729668272496945e-09
186,3.1111828813396418e-09
187,2.6141330651981497e-09
188,2.2885000543300747e-09
189,1.874371872494565e-09
190,1.4986104341671528e-09
191,1.1786023673441539e-09
192,9.239356718286024e-10
193,7.62263561941896e-10
194,6.442489904403613e-10
195,5.529957108137561e-10
196,4.716599208168987e-10
197,4.1330161579048545e-10
198,3.5980174293317313e-10
199,3.099691680816783e-10
200,2.688317453788834e-10
201,2.3581333693805445e-10
202,2.0461922709945147e-10
203,1.7548197152340247e-10
204,1.5359505166891846e-10
205,1.2739568280859513e-10
206,1.0342003567209287e-10
207,8.74465480817291e-11
208,7.309079848337068e-11
209,6.22828186050903e-11
210,4.759808327479173e-11
211,3.7665790223028764e-11
212,3.130653845138666e-11
213,3.696084878917328e-09
214,5.192142794509983e-09
215,7.853897497325709e-10
216,1.5370665892359144e-10
217,2.2965500444159085e-11
218,4.08006770212039e-12
219,9.454444999571934e-13
220,2.421431562359693e-13
221,9.554534741290183e-14
222,4.0050978399335663e-14
223,2.0042451188996813e-14
224,1.244969170978383e-14
225,8.489586161690228e-15
226,6.194583490745306e-15
227,4.697216771363454e-15
228,3.845671167309746e-15
229,3.3028093637684716e-15
230,2.9308523771064628e-15
231,2.6419740357474945e-15
232,2.433695105383154e-15
233,2.2923425021657845e-15
234,2.172619167731493e-15
235,2.0879687415045077e-15
236,2.0247097475177306e-15
237,1.9738513536052364e-15
238,1.9288973819563627e-15
239,1.8940597787665216e-15
240,1.8665566011201087e-15
241,1.842646682585148e-15
242,1.8285222169902037e-15
243,1.8136751796105114e-15
244,1.802609539330041e-15
245,1.7924775330350638e-15
246,1.784568935971935e-15
247,1.778640031361104e-15
248,1.7727323923820894e-15
249,1.7687288387719434e-15
250,1.7656241630575248e-15
251,1.7630489165691699e-15
252,1.7607046947898606e-15
253,1.7591889645308793e-15
254,1.757764074258292e-15
255,1.7566869290030572e-15
256,1.7557976918187232e-15
257,1.7550706008945634e-15
258,3.674445785654322e-13
259,1.2624709801938692e-12
260,4.3551018768353397e-13
261,9.027829052940443e-14
262,2.2315860383160505e-14
263,1.5873039704049054e-15
264,2.774346448219462e-16
265,6.646488068355429e-17
266,2.387948579296366e-17
267,1.155378229884355e-17
268,5.895620461307842e-18
269,3.4157642014855324e-18
270,2.3233944555219243e-18
271,1.6562085384058767e-18
272,1.2273046982886344e-18
273,9.889430034908035e-19
274,7.83343785246396e-19
275,6.885054950825595e-19
276,6.287155107771654e-19
277,5.682812463674419e-19
278,5.262730779969739e-19
279,4.99188552318097e-19
280,4.771927786389411e-19
281,4.5849759212378845e-19
282,4.449067998938204e-19
283,4.333980544453903e-19
284,4.234330191197859e-19
285,4.166356827939874e-19
286,4.110583325050882e-19
287,4.0650512697681284e-19
288,4.026832989109675e-19
289,4.001305012571562e-19
290,3.9762825487937046e-19
291,3.956016525591164e-19
292,3.9402957790083226e-19
293,3.9279448801857775e-19
294,3.91730354518318e-19
295,3.908943118400251e-19
296,3.902546496450453e-19
297,3.896143108264777e-19
298,3.8914808610895e-19
299,3.8879025343849374e-19
