iteration,value
0,544869345938607.2
1,6.4153945903119464e+16
2,1203528036379732.2
3,438178534447581.06
4,92527821919205.61
5,41584604814123.27
6,21783457937782.316
7,12299104047532.19
8,7247281420844.95
9,4384584938093.6333
10,2691961069930.944
11,1657310023920.8564
12,1084537178010.7639
13,696126486015.4105
14,464752526333.4476
15,305062382987.93494
16,174243502449.3733
17,90145743486.84692
18,48999261914.410065
19,26005478447.621025
20,15587960774.726171
21,6694421636.843744
22,3285170994.7293005
23,1181905446.4097483
24,345266662.065493
25,42699639.63513945
26,6523098.965612888
27,803698.4311025403
28,35367.81680952494
29,2462.071399572581
30,199.22115125329373
31,127.04708798265828
32,126.92922335861084
33,126.9099713752809
34,126.90488335669167
35,126.90274029334134
36,126.90211554303596
37,126.90169295197904
38,126.90145432375199
39,126.90128779541223
40,126.90122091016859
41,126.90117907633449
42,126.90114373638632
43,126.90111590954825
44,126.90110470920558
45,126.90109059764855
46,126.90108389019976
47,126.90107616430484
48,126.90107059271648
49,126.90106792610965
50,126.90106644355866
51,126.90106472965016
52,126.90106373314926
53,126.901059465712
54,126.90105727785955
55,126.9010542419632
56,126.90105187863624
57,126.90105056207953
58,126.90104994442682
59,126.90104892772673
60,126.90104873970198
61,126.9010478884384
62,126.90104753927746
63,126.90104750155619
64,126.90104740435719
65,126.90104731049384
66,126.90104706546231
67,126.90104669513853
68,126.90104659415694
69,126.90104646129315
70,126.90104643478485
71,126.90104630632051
72,126.90104632905724
73,126.90104633951438
74,126.90104634648509
