iteration,value
0,162579.7218573127
1,468390551.71322227
2,69594251403.60051
3,5.385378575856251e+19
4,4416423541163224.5
5,4342460064982413.5
6,4254164637570840.5
7,4149200379960975.5
8,4025923443850789.0
9,3882196033839914.0
10,3716059178094704.5
11,3526819611691918.5
12,3314219642395694.5
13,3078938867432677.0
14,2825582397162316.0
15,2558229732538634.0
16,2307480775887954.0
17,2048516830643270.8
18,1788934718923581.5
19,1559264256089869.2
20,1337774141122654.5
21,1129968326305485.5
22,955687486121894.5
23,795431978395143.0
24,650825650546614.6
25,537095956201722.4
26,436445016493810.25
27,349938359849571.2
28,283253354250258.9
29,225909627414608.2
30,177918083024713.94
31,142014449043100.6
32,111818638757774.69
33,86907500625549.55
34,68643359495548.484
35,53512941777089.695
36,41221079350193.5
37,32350717646069.5
38,25087249876497.504
39,19232371504877.316
40,15039494244184.975
41,11610699836514.387
42,9117062485288.105
43,7057464835355.024
44,5549053005454.961
45,4305690088474.057
46,3399219772301.2256
47,2714434983384.5244
48,2181984437264.6992
49,1726920091007.9724
