iteration,value
0,4598.223803186111
1,55590.57778665626
2,1309781.6896632484
3,16012856048.08414
4,158530020490.92484
5,16145611288.98806
6,9470269977.071928
7,5968679272.0973215
8,4103856756.610124
9,2889120232.9436564
10,2031325538.9904947
11,1434923540.0936449
12,1010254371.8863736
13,703772598.1793177
14,493886075.57823557
15,346964126.6444795
16,250694378.06600046
17,178159786.6828389
18,125188923.80452347
19,90298649.07149106
20,64585373.10306375
21,47521644.06044382
22,34323766.47892424
23,25366074.670379464
24,18394795.958487418
25,13195111.798313458
26,9683837.029918263
27,7243500.843402814
28,5310596.644592385
29,3959509.776878854
30,2994619.2374674054
31,2218809.871753199
32,1668075.7194850696
33,1267768.244861307
34,972948.0447386238
35,752581.1819094812
36,585864.7669322651
37,458988.04416112887
38,361543.0794098572
39,285993.2388856676
40,227231.1733529839
41,181150.3566110916
42,144860.50751379097
43,116140.12564810389
44,93403.1544159212
45,75399.7099843912
46,61050.7017385552
47,49620.42936512321
48,40406.100038668475
49,33031.05421321278
