iteration,value
0,77256.34237124842
1,172532866322.13226
2,411118136.84322625
3,342156619.27300906
4,279875961.95798475
5,225289608.16850454
6,178730279.05156818
7,139860367.64589408
8,108178453.6688369
9,82789650.56701355
10,62764550.214819364
11,47163211.408140674
12,35235667.15178465
13,26128203.766970932
14,19926566.352586053
15,15037409.484113133
16,11573511.411673645
17,9072045.807899933
18,6989325.0066232
19,5481243.790721586
20,4347113.27744011
21,3500444.8756748373
22,2824794.5847745133
23,2302670.037775394
24,1833074.299430019
25,1433812.3989999914
26,1137692.0304074455
27,904741.7215162875
28,727067.569751464
29,589304.0175976135
30,478737.7922595038
31,390783.6035905143
32,321184.292659624
33,261252.106455536
34,215600.15525656161
35,178395.89709878273
36,145166.05373109627
37,119075.58818294024
38,99933.1496193652
39,83538.12363890017
40,70461.74995403305
41,59041.94294691341
42,49657.25993580247
43,41473.95448634468
44,34105.66573264542
45,28715.748297514987
46,24677.68541531969
47,21135.72453135633
48,17696.6153230555
49,15315.463759025735
50,13372.406148688267
51,11957.10392896015
52,10847.125956544969
53,9885.283325154369
54,9057.275301232221
55,8349.146438867938
56,7856.739786128795
57,7420.078608738196
58,7104.182865173068
59,6816.661324876316
60,6557.2414542580555
61,6365.721902506987
62,6189.05092288154
63,6027.467287594642
64,5905.93509039434
65,5792.492817181382
66,5687.416996588293
67,5606.773671933587
68,5316.437688124916
69,5482.741840467701
70,5557.3964057815765
71,5584.916560033231
72,5589.682302455391
73,5593.034869131087
74,5587.798969117896
75,5586.702573215673
76,5582.836067943061
77,5576.40378837968
78,5572.939725691106
79,5565.194257609607
80,5553.813534786189
81,5546.39397947725
82,5538.423086934665
83,5530.558981484031
84,5521.404076783856
85,5510.51467884542
86,5498.871037929815
87,5487.295357265042
88,5474.958219164495
89,5461.464977506351
90,5446.184160036621
91,5431.302852442013
92,5414.20350680666
93,5397.851466856861
94,5378.161254898044
95,5356.865330218846
96,5338.02249541934
97,5315.947607357201
98,5292.148102109507
99,5272.465808409644
100,5250.262518541651
101,5229.768060259422
102,5212.205578008129
103,5195.075219131828
104,5175.027903498033
105,5155.41674190856
106,5142.051274855751
107,5123.69768232976
108,5105.617411074558
109,5088.168435334195
110,5070.203990686895
111,5059.320139924569
112,5045.382760350854
113,5032.637956685678
114,5022.756642569844
115,5007.6632092016125
116,4994.16885023872
117,4980.059232195619
118,4967.346561590794
119,4953.97504427484
120,4941.27776760987
121,4929.703747960505
122,4917.4171187504035
123,4905.633202388902
124,4894.271084807882
125,4883.797063856985
126,4872.585711814809
127,4861.727525266804
128,4851.171689502314
129,4840.877867331664
130,4831.2969733025
131,4819.113953368077
132,4806.155208874023
133,4796.295109154385
134,4784.643553921981
135,4770.736755766208
136,4754.8463030776575
137,4743.106949586458
138,4730.404245895341
139,4711.959776892841
140,4684.96600501774
141,4658.519450788081
142,4646.531605473304
143,4629.054517805417
144,4612.643257927155
145,4585.17268202464
146,4555.814138816275
147,4532.438397817875
148,4500.505088143603
149,4479.973622610379
150,4442.115195808499
151,4417.061858589349
152,4371.429096282284
153,4323.32009142319
154,4287.500744223598
155,4244.8576293319775
156,4237.161464011648
157,4176.863010709381
158,4124.566778539612
159,4055.752691784971
160,3984.6441793787003
161,3914.2426650571088
162,3843.721045476749
163,3795.312583208905
164,3755.2703020432396
165,3696.158468784281
166,3616.386915620084
167,3552.2763777852533
168,3481.2449727816543
169,3418.9441867634946
170,3340.9499713069727
171,3237.4297893470966
172,3198.6868822228444
173,3150.470802977139
174,3067.660846094046
175,3038.5640242496856
176,2950.7361085491298
177,2838.980716194768
178,2743.993951527574
179,2655.600876639368
180,2545.5107768422636
181,2461.4602869787936
182,2418.634362659254
183,2357.713411331811
184,2283.4015628805546
185,2196.2315345491284
186,2107.826976693994
187,2029.546772957611
188,1957.8319031813655
189,1865.7479680974968
190,1789.4754299504445
191,1717.1266676348985
192,1634.8348650994983
193,1557.5369468351657
194,1490.7329146887637
195,1408.3656925786843
196,1343.403329091046
197,1277.789831916451
198,1213.6104873099814
199,1152.7460809838472
200,1092.3100121617101
201,1036.468787162857
202,977.7291866247466
203,942.7195952508876
204,935.2775553147776
205,887.7145656546323
206,850.2217561888777
207,812.0533486632503
208,777.3087655732606
209,731.9587109987891
210,698.0585629930325
211,659.144133188145
212,622.3203723236234
213,592.7470069341829
214,556.3857287130091
215,526.5017704699776
216,498.3186539766309
217,472.3094238897053
218,446.8509509285016
219,418.21594890830886
220,395.2631707616103
221,370.7842397052451
222,346.7256272865995
223,321.84693771360725
224,301.1700049280259
225,278.9818536518706
226,263.1874531578237
227,240.67999228831223
228,223.19510790555276
229,201.7973702949638
230,186.23999635229842
231,170.16086348338777
232,153.85060508857433
233,141.31757864617333
234,129.77666995908518
235,119.32989316711185
236,110.04891765828789
237,101.39673021100612
238,93.7163680917308
239,86.69288715530267
240,80.50426695804222
241,74.96791649394554
242,70.14699153893989
243,66.03506856095359
244,62.413738450279844
245,59.36558346586526
246,56.73832698753856
247,54.55798850535843
248,52.71284854691199
249,51.11170172312393
250,49.738192548551325
251,48.59140580645324
252,47.73335326890607
253,47.117480530857684
254,46.57732738481347
255,46.16691656020631
256,45.8252501170793
257,45.53310948123352
258,45.277510964905616
259,45.04935642220532
260,44.84211134766161
261,44.65100607153772
262,44.456176554495606
263,44.27224174228478
264,44.08018871136
265,43.87813720877114
266,43.66431217599191
267,43.437115935305854
268,43.19515736403438
269,42.9372748283758
270,42.66253933780048
271,42.36725278856723
272,42.063462734499446
273,41.72039825425487
274,41.32221607483117
275,40.91740063991489
276,40.53335004103795
277,40.13982043244482
278,39.73733680320245
279,39.358820836440024
280,38.97231510822944
281,38.57779625949259
282,38.17577818698545
283,37.76702277617521
284,37.35241029878302
285,36.93287266751308
286,36.542323442332425
287,36.147136854164
288,35.747232700893214
289,35.34313879992073
290,34.90601836057858
291,34.42926594770656
292,33.93426803493447
293,33.40394080062359
294,32.96604886591387
295,32.45221033407445
296,31.97272335414853
297,31.527073481655208
298,31.05490720772424
299,30.6094532512072
300,30.172093459339447
301,29.750788067354257
302,29.350148097480815
303,28.955220956144224
304,28.56371812275762
305,28.175711670623027
306,27.80309384442295
307,27.43682062424138
308,27.06918350657132
309,26.71826969771429
310,26.37220713154355
311,26.029471508634245
312,25.70107920488477
313,25.451666355601873
314,25.227421211963986
315,24.942413823762376
316,24.65691427788763
317,24.319426525500514
318,24.089036074806423
319,23.780416240581932
320,23.44031904973878
321,23.15486357490414
322,22.945529249457525
323,22.57195485768087
324,22.27276758729282
325,22.04637270007283
326,21.75464719774504
327,21.51723295703285
328,21.26429993106477
329,20.961812911520575
330,20.759488534775983
331,20.88096880984899
332,20.353886660258105
333,20.48752850344363
334,20.047197732827033
335,19.75712557598222
336,19.760121633756604
337,19.46771698574941
338,19.452604064267607
339,19.440138493432023
340,19.20206716244173
341,19.030321029493912
342,18.92462341479928
343,18.810441852610403
344,18.65419704589037
345,18.529199776939457
346,18.435816918536855
347,18.34256399179171
348,18.24760488898401
349,18.151818575639616
350,18.05582985602453
351,17.94163263119812
352,17.836723366489455
353,17.734392119824278
354,17.63273075883025
355,17.531241062042383
356,17.429875362563617
357,17.328727222890084
358,17.227927810134712
359,17.127611384523828
360,17.015232683237652
361,16.90496399268424
362,16.813381365180035
363,16.678526845437723
364,16.550219939914303
365,16.433511967470825
366,16.33150532849722
367,16.245492185816737
368,16.10922827010717
369,15.983695207538384
370,15.872229428850243
371,15.779247094986001
372,15.672450650248663
373,15.567297223703418
374,15.447655556252968
375,15.34359747317133
376,15.26119349792496
377,15.158135854641309
378,15.044183891654905
379,14.974760808812924
380,14.941612915338464
381,14.843313131689763
382,14.7509491117145
383,14.673037746376481
384,14.597522456834914
385,14.52300889839948
386,14.449314447050437
387,14.364262094950249
388,14.30088554392641
389,14.229925671206374
390,14.146249571593323
391,14.086205004003732
392,14.017718943652088
393,13.935903780169218
394,13.879516761705123
395,13.802372634336132
396,13.747363117133853
397,13.67600402182655
398,13.642462779181296
399,13.632501576746622
400,13.66506148488818
401,13.761803975500765
402,13.95334209121261
403,14.281735999979722
404,14.805981501444016
405,15.608105429745452
406,15.55773945550341
407,16.967441156285226
408,16.866996687393595
409,18.836718921132622
410,18.781269950646347
411,21.48296453474089
412,21.494989437105875
413,23.938216553074934
414,34.46730653786712
415,27.785196175457894
