iteration,value
0,490.60416439440274
1,13564.320556824598
2,380167.02581245836
3,28997355031.927616
4,202548779976.88
5,24618685649.528763
6,14527244277.15226
7,9214114883.37585
8,6396509599.623495
9,4551149433.045577
10,3232427357.6628246
11,2305095864.177316
12,1637192132.3752737
13,1149578337.1672945
14,813484384.4984479
15,576280958.0217143
16,419146047.596075
17,299567524.11680627
18,211588288.45598745
19,153224382.03414786
20,110070557.64162578
21,78506553.84707975
22,57236050.783185676
23,41190092.51828752
24,30241663.515338138
25,21938275.19071405
26,15688235.211386826
27,11506039.771132907
28,8288667.191020261
29,6096698.8114305865
30,4562977.727055928
31,3350109.741190708
32,2501663.705509076
33,1892151.5541437794
34,1447492.9386550605
35,1084620.7351010516
36,823511.8184278887
37,632889.7411981057
38,491320.1591134614
39,384536.1788589869
40,303374.93778860837
41,240864.94916960908
42,192302.53453306018
43,154313.69058034575
44,124374.13231372285
45,100777.85565219846
46,81985.16820573954
47,66950.08374504333
48,54702.58649668784
49,44855.16107954726
