iteration,value
0,56.85569988455106
1,1948.7581848547402
2,23477.567857584305
3,19156.136535062582
4,22133.596608808093
5,25176.238783367007
6,25481.283515250627
7,20933.63638487932
8,14814.673035667805
9,20418.51240810453
10,16079.356868038716
11,18268.18818158133
12,14371.995078688522
13,6477.351456303831
14,9077.07779031143
15,12260.395413234794
16,18183.703294980824
17,7852.217511087544
18,13345.703846758282
19,27023.757224018176
20,17945.253841371286
21,28780.32141180459
22,68204.44365514535
23,37425.65203398906
24,22026.001814546624
25,160875.29950210822
26,88105.97286116445
27,78294.05949930206
28,120098.79804786705
29,66517.7523693916
30,27621.464019711802
31,23643.614667583923
32,24509.94029610358
33,41935.58813292042
34,31033.842833447983
35,42548.36363112032
36,85697.41542340374
37,85756.39091765012
38,24179.000954511346
39,100842.59208676103
40,26527.863514490917
41,81789.45967183728
42,47999.51590943504
43,21167.900893571194
44,24528.21359762426
45,35372.9612975844
46,55312.82085232567
47,47656.633243894445
48,30875.572501204835
49,42078.50488480506
