iteration,value
0,161338.057707099
1,8541637.507712808
2,627147.3187156531
3,168473.25626085035
4,67232.39182751089
5,64235.74077562879
6,70458.21984581431
7,152193.44932583845
8,305630.15949154476
9,826946.2798499294
10,1916058.5890362498
11,3795597.19700376
12,3990457.594730563
13,4795625.358002864
14,1548276.3167616953
15,583536.8067715787
16,262779.3035539746
17,284272.05646235135
18,338425.68122684344
19,775286.826228717
20,1267980.2461487926
21,1779150.4057671546
22,2390670.392319491
23,2717512.0686919927
24,2742138.93963607
25,1640413.3121264945
26,763546.9293267884
27,533884.3130576223
28,383346.99807743676
29,601313.0841658049
30,746464.3963897957
31,1638785.8887126758
32,2659885.3458095584
33,5860295.589695554
34,7660205.222220093
35,6132152.90306055
36,2977583.0041095954
37,1675680.163767898
38,755689.6744266546
39,912348.4184184871
40,729225.5104162684
41,1443620.6120607841
42,1885084.4024894848
43,4422244.290770519
44,4719527.896029968
45,6574083.8637247905
46,4575200.660674777
47,2800612.6497610155
48,1131205.416107585
49,1459269.641972961
50,856298.051269691
51,116089.08548610893
52,56.6635349500032
53,3.080106678778691
54,1.3274386785794414
55,1.0637085380338847
56,1.0354721451236497
57,1.0221024822279396
58,1.0145474417336566
59,1.0098615100557524
60,1.0068057693782784
61,1.0047556466753749
62,1.0033562598535974
63,1.0023902221172452
64,1.0017180281604114
65,1.001247496733084
66,1.0009165491663392
67,1.0006828365040954
68,1.0005172022721054
69,1.0004072901586922
70,1.0003343465347887
71,1.0002855851470016
72,1.0001810104533562
73,1.0001354859760698
74,1.0001455563394084
75,1.0005838847158992
76,1.00093549600435
77,1.0012614095695767
78,1.0015316115008512
79,1.0015073181015326
80,1.0014871053888563
81,1.0014699839826244
82,1.001455102891743
83,1.0014417606281827
84,1.001251335970752
85,1.0011288598628363
86,1.0010500759600753
87,1.000999195107476
88,1.0009658976916365
89,1.0008154907277342
90,1.000726723426767
91,1.000401328646394
92,1.000170749124584
93,1.000317037361457
94,1.0001575706155288
95,1.0000852978700796
96,1.0000601432305676
97,1.0000501678594016
98,1.0000454994678563
99,1.0000428486367274
100,1.0000421100142862
101,1.0000417444005627
102,1.0000415859350007
103,1.0000415419749435
104,1.0000415621809693
105,1.0000416194959376
106,1.0000416992581131
107,1.0000417933264651
108,1.000041897031894
109,1.0000419491893189
110,1.0000420182715548
111,1.0000420978033053
112,1.0000421842408036
113,1.0000422755666576
114,1.000042370593319
115,1.0000424220394357
116,1.008012734815176
117,1.0129925155493988
118,1.0150490712669544
119,1.009282949427061
120,1.0058997248930097
121,1.0038225367972569
122,1.0025089168273393
123,1.0016623787047156
124,1.001255217934492
125,1.0010650095107028
126,1.0009811315266548
127,1.0009474856916625
128,1.0009355570907077
129,1.0009317043963157
130,1.0009302392060513
131,1.000657937215764
132,1.0006223032296755
133,1.000619403592379
134,1.000618613645557
135,1.0002087720205357
136,1.0006740821119784
137,1.001088323903672
138,1.0002209090424807
139,1.000558149977282
140,1.0001215036509918
141,1.0005269194551871
142,1.0007599762460477
143,1.0005653738435698
144,1.000458727104729
145,1.0003202936418685
146,1.0003082409050863
147,1.0003074922001949
148,1.0002156435612481
149,1.0002113063784492
150,1.0002111180065667
151,1.0002109244475277
152,1.0002107229330592
