iteration,value
0,1546.9601857868981
1,52205.1883420594
2,1396770.9370062563
3,58278580436.380615
4,1256836527565.0376
5,189789972504.9349
6,114200180975.60764
7,73773629306.39778
8,52306329800.98503
9,37972974636.769264
10,27471737404.29196
11,19942228476.29382
12,14401896061.351006
13,10262208181.709265
14,7372406503.892342
15,5301011664.852225
16,3901664438.8771257
17,2818334423.8912067
18,2010363400.4752414
19,1467132302.8612962
20,1062866370.487536
21,764937238.2161418
22,561624925.0710791
23,407087092.82612103
24,290190448.6887767
25,213008670.83319443
26,153982391.32296413
27,113949971.34043024
28,82742423.58729793
29,61239663.0454555
30,44575136.7128651
31,33045108.148294713
32,24050550.10177973
33,17814224.480233565
34,13389012.326801851
35,10182040.363945471
36,7580093.779667121
37,5726646.837258158
38,4378346.84831213
39,3378287.2973303525
40,2630179.564616473
41,2062089.6752140396
42,1626330.887084009
43,1289378.5789758326
44,1027641.457772076
45,823251.4672690879
46,662782.2736953631
47,535026.763649414
48,433233.73717499524
49,352223.6119380795
