iteration,value
0,142727930.60417557
1,11578262435003.361
2,3520090114601656.0
3,1.265865545159215e+16
4,21724951954.074844
5,21570798273.15926
6,21378163153.31189
7,21142090163.46726
8,20851038062.894485
9,20493499919.413517
10,20052149227.736996
11,19499864024.01296
12,18918953693.91452
13,18200153938.42167
14,17444259567.893353
15,16569100872.465721
16,15303718512.07082
17,13763884980.05552
18,12270802276.096943
19,10777601481.101
20,9536842434.804785
21,7947899263.082111
22,6406381380.4931965
23,4841479602.443686
24,3479085482.361119
25,2153196850.0370846
26,1386367194.6003354
27,740879321.3722733
28,331407999.7914921
29,122801491.4662317
30,37888050.13466273
31,2378070.9096040293
32,284658.1126241532
33,26740.386108830495
34,2107.661700653351
35,158.29490165592816
36,102.75543330525788
37,98.78925385911555
38,98.44168835673057
39,98.40049298787866
40,98.38635812472278
41,98.38155331686607
42,98.37888765096062
43,98.37695887580745
44,98.37625934839649
45,98.37592409615979
46,98.3756185490295
47,98.37542757645332
48,98.37532314355398
49,98.3752704012143
50,98.37519507992047
51,98.3751234344032
52,98.3750723714188
53,98.37503231621633
54,98.37500570964438
55,98.37498831851617
56,98.37498005264756
57,98.37497104668091
58,98.37496506713576
59,98.374963503909
60,98.37495877673938
61,98.37495735826835
62,98.37495587234906
63,98.37495121096498
64,98.3749494590743
65,98.37494861375372
66,98.37494829539834
67,98.37494867174216
68,98.37494864028737
69,98.37494837986038
70,98.37494780747417
71,98.3749469424692
72,98.374945336057
73,98.37494414321954
74,98.37494351962779
75,98.37494362162765
76,98.3749433534226
77,98.374943070554
78,98.37494353828774
79,98.37494356813328
80,98.3749432553301
81,98.37494316619126
82,98.37494286929063
83,98.37494222955894
84,98.37494259123751
85,98.37494239544594
86,98.37494206642918
87,98.3749419245577
88,98.3749418982801
89,98.37494160899999
90,98.37494147384245
91,98.3749416866027
92,98.3749416162026
93,98.37494152090217
94,98.37494174658926
95,98.37494164928763
96,98.37494151872734
97,98.37494140768824
98,98.37494129735921
99,98.37494126391556
