iteration,value
0,3.4420985750877877
1,1.7808395003017967
2,0.4119465759608978
3,-0.9613542464880745
4,0.23154901270378725
5,-2.411422463864141
6,-4.600484029256124
7,-5.9749552257486895
8,-5.36830242257011
9,-4.814932432427448
10,-6.678331332172109
11,-6.654100159913655
12,-6.410552160758838
13,-6.490770000965885
14,-6.927723283545422
15,-7.168959500248984
16,-7.2084422990567765
17,-7.151343338777361
18,-7.088078631493065
19,-6.748988308165443
20,-6.843585553922394
21,-6.8766527701028135
22,-6.66784438722355
23,-6.965503025185278
24,-6.8510869874526445
25,-6.644524874398306
26,-6.01406157245634
27,-6.613328143278821
28,-6.7589208332775765
29,-6.206596969136853
30,-6.997801253627647
31,-7.014164176818715
32,-7.181142471190018
33,-7.155911552756517
34,-7.239866245893348
35,-7.2459668977011935
36,-7.218514157082394
37,-7.253254088905243
38,-7.256133339568534
39,-7.242130540562517
40,-7.24962208179407
41,-7.234145978022967
42,-7.2553171899015085
43,-7.246643705453908
44,-7.260168549888269
45,-7.259688542469791
46,-7.264034438153751
47,-7.263148693501563
48,-7.266936511625192
49,-7.267017427992389
50,-7.268663011004767
51,-7.2687410313739615
52,-7.268989730488283
53,-7.269074060895325
54,-7.269152399133193
55,-7.2692024122430015
56,-7.269255594221626
57,-7.269304374182094
58,-7.2693421383191135
59,-7.269377421969924
60,-7.269407963133013
61,-7.269434009246915
62,-7.269455806321697
63,-7.269476065071196
64,-7.269495312015578
65,-7.2695130882098855
66,-7.269529827713328
67,-7.269545777024242
68,-7.269559686871375
69,-7.269572019122462
70,-7.269582791234599
71,-7.269591483772495
72,-7.269600159890192
73,-7.269608275642599
74,-7.269615987676561
75,-7.269623315324851
76,-7.26963025184169
77,-7.269636346980182
78,-7.269642367394335
79,-7.269647485607004
80,-7.269651778623879
81,-7.26965566233629
82,-7.269659397120009
83,-7.2696629567340025
84,-7.269666231958934
85,-7.269669337982892
86,-7.269672379955487
87,-7.269675185342649
88,-7.26967788561981
89,-7.269680447636638
90,-7.269682787422778
91,-7.269685137031506
92,-7.269687213008655
93,-7.269688997284384
94,-7.269690710041531
95,-7.269692370438478
96,-7.269693908336288
97,-7.269695433799546
98,-7.26969680928582
99,-7.269698221066267
100,-7.269699430918093
101,-7.269700491006887
102,-7.269701560734792
103,-7.269702590779993
104,-7.269703511367372
105,-7.269704471127079
106,-7.2697054027330035
107,-7.269706212015884
108,-7.269706999285997
109,-7.269707801964521
110,-7.269708609357103
111,-7.269709411630701
112,-7.269710214523808
113,-7.269710987119631
114,-7.2697117513066445
115,-7.269712473644523
116,-7.269713209574635
117,-7.269713941325959
118,-7.269714621125066
119,-7.269715348073541
120,-7.26971601195267
121,-7.269716665147873
122,-7.269717322044595
123,-7.269718045053732
124,-7.2697187725647785
125,-7.269719514905402
126,-7.269720276983763
127,-7.269720950059138
128,-7.269721643480312
129,-7.269722257217445
130,-7.2697229059947865
131,-7.269723625961514
132,-7.269724215977234
133,-7.269724788034139
134,-7.269725437990677
135,-7.269726093992374
136,-7.269726776632426
137,-7.269727438169541
138,-7.269728117349963
