iteration,value
0,-3.3576247800451653
1,-431.0706732495952
2,-69986.98403998723
3,-532224.0117507458
4,-43164302.88718754
5,-4176238774.076252
6,-449549437391.6817
7,-114479626407501.38
8,-1.1859872197143706e+17
9,-9.439003895329785e+20
10,-1.3092653306701722e+26
11,-6.649328948260118e+31
12,-2.2930869689814598e+39
13,-6.396781038303298e+44
14,-1.0604881725131967e+45
15,-1.5438742208218682e+45
16,-1.8074443192474933e+45
17,-2.0712779590872543e+45
18,-2.409282947229746e+45
19,-2.8211463533593218e+45
20,-3.323483495984802e+45
21,-3.936725576343869e+45
22,-4.6860058580541805e+45
23,-5.601264140786581e+45
24,-6.72239572924487e+45
25,-8.095293731489909e+45
26,-9.77785383458989e+45
27,-1.184050208132155e+46
28,-1.3912412704227307e+46
29,-1.6453637565613481e+46
30,-1.7040834854776151e+46
31,-1.834100189670148e+46
32,-1.962882513999963e+46
33,-2.1325603138810924e+46
34,-2.313482657047303e+46
35,-2.5501794917976637e+46
36,-2.859106444891309e+46
37,-3.186794287996007e+46
38,-3.216737316260489e+46
39,-3.5709651693302217e+46
40,-3.8090252106816687e+46
41,-4.127273151656286e+46
42,-4.550843643238945e+46
43,-5.008810485165399e+46
44,-5.616156514783435e+46
45,-6.419717254169142e+46
46,-7.281938459067711e+46
47,-8.417447770492577e+46
48,-9.91001285310856e+46
49,-9.948215875287163e+46
50,-1.2126561778776124e+47
51,-1.2141946250200949e+47
52,-1.2174317711000937e+47
53,-1.2202076098680699e+47
54,-1.2242675932629558e+47
55,-1.22864429818897e+47
56,-1.2324878147101288e+47
57,-1.2368217002506401e+47
58,-1.24162750332364e+47
59,-1.245910863766983e+47
60,-1.250932729475581e+47
61,-1.256801339856847e+47
62,-1.263149447892029e+47
63,-1.2650176523267453e+47
64,-1.2738136291477093e+47
65,-1.2821048881773288e+47
66,-1.2912481045596371e+47
67,-1.3018391245417682e+47
68,-1.3122792032838086e+47
69,-1.3240500548802225e+47
70,-1.3356378708115474e+47
71,-1.347175697693457e+47
72,-1.3528074556083878e+47
73,-1.3537666713451993e+47
74,-1.3625029301031873e+47
75,-1.376920606012687e+47
76,-1.3943596582687807e+47
77,-1.3761739088351877e+47
78,-1.3860031618576483e+47
79,-1.4039085747971125e+47
80,-3.867958998597002e+47
81,-4.899033029891366e+47
82,-7.435689725811518e+47
83,-1.0230552152707166e+48
84,-1.4028135452369422e+48
85,-1.9183501149893756e+48
86,-2.617515888791422e+48
