iteration,value
0,4144.754783732598
1,517576.5828791044
2,20106.9463020538
3,12040.45554913496
4,5332.236644935545
5,3331.81968344681
6,2447.4085452938225
7,2080.526237264483
8,1895.2902211896826
9,1793.9443526702998
10,1731.9673185454374
11,1688.821206826402
12,1659.4619644750355
13,1635.5234613927555
14,1613.3525499886846
15,1593.4141445672371
16,1575.4334536137521
17,1553.3811317413652
18,1531.136694292024
19,1506.8273897201702
20,1484.6429957224059
21,1461.063200041215
22,1438.1939345890326
23,1402.7321398884283
24,1367.448003859166
25,1337.7794995750926
26,1317.054804109243
27,1310.2749495428557
28,1229.4539428723804
29,1213.482432749951
30,1178.7401787114895
31,1170.0406013071713
32,1159.700649076275
33,1154.1728409012383
34,1145.5940022181944
35,1166.3936849478605
36,1194.368100462886
37,1171.4463826366173
38,1172.1185569588627
39,1155.3267671439849
40,1143.6368994362874
41,1231.804275295469
42,1218.1936953123559
43,1189.6859849172151
44,1137.6567289829318
45,1164.0093009642376
46,1167.0376126430342
47,1213.8531580208291
48,1187.7673940012955
49,1224.0349882480418
50,1207.3936457376185
51,1184.9983695709716
52,1162.2691747092244
53,1150.7657904484258
54,1130.6327500812447
55,1214.3193663207426
56,1217.5450301613223
57,1189.5460325883996
58,1185.9972111840289
59,1189.0530256608247
60,1205.0455224347047
61,1187.6182024497273
62,1157.0308906543405
63,1179.1420343238908
64,1202.7137300462255
65,1234.9476273983948
66,1190.058003209961
67,1211.666790388839
68,1267.0756156840594
69,1214.1364885485796
70,1301.395122176932
71,1277.2038858041278
72,1219.5989406482604
73,1201.7657470933007
74,1250.7792935214995
75,1258.8173019794365
76,1334.9364470808289
77,1352.5135791803186
78,1276.2954952668188
79,1327.840399372578
80,1290.605119412814
81,1304.3712425348015
82,1296.5421622289496
83,1272.448328805303
84,1103.520519351449
85,1165.451262221
86,1247.2229537744429
87,1230.2095473119366
88,1204.4870734155984
89,1268.649167800292
90,1264.0084402386901
91,1223.4330806348846
92,1350.3506585530836
93,1275.2084469948
94,1581.8848728123712
95,1655.7680154076684
96,1620.2104925630451
97,1797.1930987146059
98,1927.0005621527464
99,1905.5679832030496
100,2023.2083442942949
101,2109.549757861045
102,2326.977827737274
103,2521.859276842596
104,2592.4003664121246
105,2641.182113049894
106,2619.201236088621
107,2532.8940759039556
108,2701.845949460845
109,2749.874248639666
110,2792.0186324004103
111,2801.1329248433813
112,3045.8883586672773
113,3039.214428858139
114,3305.7042763571835
115,3407.2039938427833
116,3571.124191872125
117,3579.9724299823274
118,3563.8182890803764
119,3566.2709958439436
120,3509.1734590272604
121,3327.274444550645
122,3060.64628760004
123,1903.0997595391887
124,2052.0907258427646
125,2100.25108757237
126,2138.242080202247
127,2212.65108222229
128,2249.8465412186997
129,2394.655602991043
130,2465.208706848555
131,2485.854878244486
132,2555.267762063928
133,2546.16627213523
