iteration,value
0,2.457755273422499
1,1.6269672517307825
2,1.2294348348354556
3,-0.9240731876068107
4,-1.0329614641887086
5,-2.208130484472421
6,-2.0346045127308825
7,-3.285425522703802
8,-2.0025214834865075
9,-4.5361446260133205
10,-3.1769933274703375
11,-2.122172258528459
12,-4.464120510141498
13,-4.656656407025224
14,-3.9075023757526655
15,-4.65362762780951
16,-4.702469949645047
17,-4.851241774336252
18,-4.799558631765838
19,-4.937721307654002
20,-4.824707644477345
21,-4.834886968117785
22,-4.973130190094484
23,-4.92522730391984
24,-5.080082432441456
25,-5.161540051585662
26,-5.12356701270085
27,-5.173281359422484
28,-5.177347746409252
29,-5.136651416083427
30,-5.006681788803073
31,-4.881132484244271
32,-4.639847401687557
33,-5.108484762445379
34,-5.210903416446047
35,-5.171385277439522
36,-5.115695435900523
37,-5.0878360303500685
38,-5.072408600581713
39,-4.607709076111528
40,-5.0177902704387005
41,-4.485238025651636
42,-5.069684415660225
43,-5.235397622905731
44,-5.205154149242048
45,-5.133966903723362
46,-5.290283360854967
47,-5.243882758842218
48,-5.32873810477278
49,-5.3359364076786875
50,-5.385749739866447
51,-5.381816502565149
52,-5.352572427832653
53,-5.3977004433091444
54,-5.3430014081144845
55,-5.4065430692623035
56,-5.414552592637854
57,-5.4074105889431445
58,-5.349361291544672
59,-5.443837858816882
60,-5.43813766896712
61,-5.441982573989912
62,-5.4253179268893055
63,-5.447203806761339
64,-5.443988010742874
65,-5.454521626687253
66,-5.4526400186133355
67,-5.460884181810909
68,-5.461441465830118
69,-5.464734484085591
70,-5.464792252669087
71,-5.466576821235114
72,-5.46685443189608
73,-5.467619403167745
74,-5.467887548849434
75,-5.468243975698857
76,-5.468549537629734
77,-5.468842953066761
78,-5.469151508600858
79,-5.469492781140406
80,-5.469887152799374
81,-5.470340079631825
82,-5.470822899621577
83,-5.471368483597704
84,-5.4716562405178495
85,-5.472176200769593
86,-5.472449317649769
87,-5.472892546551978
88,-5.473169735186847
89,-5.473451474408109
90,-5.473732944447129
91,-5.474016695137724
92,-5.474309177560844
93,-5.474635458170509
94,-5.475010122218324
95,-5.475429904109742
96,-5.475855894687509
97,-5.476345515810102
98,-5.476672623450087
99,-5.4771285746609015
100,-5.47732859612111
101,-5.478064754975256
102,-5.478310685178251
103,-5.478671870502726
104,-5.478918593989042
105,-5.479193388657611
106,-5.479435488044307
107,-5.4796686945082556
108,-5.479906000799137
109,-5.480186411658349
110,-5.480498604438392
111,-5.480852988592167
112,-5.481209895778381
113,-5.4815929394885226
114,-5.48199515102283
115,-5.48247824259398
116,-5.482975233880833
117,-5.483454766961756
118,-5.483827928453839
119,-5.484252907136125
120,-5.48450602732032
121,-5.485037815975156
122,-5.485287953379341
123,-5.485580655359484
124,-5.4858318782125135
125,-5.486081422425682
126,-5.48638913909179
127,-5.486704569520354
128,-5.487069811446708
129,-5.487395695501853
130,-5.487768022160435
131,-5.488051803424352
132,-5.488407860940571
133,-5.488687518290642
134,-5.488985351274178
135,-5.489237017928287
136,-5.489476756292843
137,-5.489716314208543
138,-5.4899541302139525
139,-5.490223623133051
140,-5.490527059053444
141,-5.490879170034493
142,-5.491265590065256
143,-5.491676411785157
144,-5.492125597532616
145,-5.492639032982603
146,-5.4930504365589545
147,-5.493454827791772
148,-5.493504719076636
149,-5.494383611866714
150,-5.4945627848998635
151,-5.495167623160775
152,-5.495398745283599
153,-5.495737104531012
154,-5.496004658401521
155,-5.496257995679532
156,-5.496503085658149
157,-5.496752882976742
158,-5.497005030168513
159,-5.497297003166002
160,-5.497591213186328
161,-5.497885497535199
162,-5.498175663084063
163,-5.498489806075095
164,-5.498834948724534
165,-5.499225472688731
166,-5.499569918574144
167,-5.500019673124984
168,-5.500217352429162
169,-5.500753600586189
170,-5.500975721337132
171,-5.501344220787174
172,-5.5015783577835204
173,-5.501820783547183
174,-5.502092252937432
175,-5.502364103087161
176,-5.502632946613968
177,-5.502922265683125
178,-5.503233905919143
179,-5.503593930637619
180,-5.503838133903281
181,-5.504221968039293
182,-5.504456932959982
183,-5.50470567579378
184,-5.5049198629766
185,-5.505135062220904
186,-5.5054217128762035
187,-5.505743773496576
188,-5.506109188993968
189,-5.5065069919102365
190,-5.506938723369339
191,-5.507347903529171
192,-5.507768964303164
193,-5.507965014726473
194,-5.508511250128852
195,-5.5086859444846485
196,-5.509314897593752
197,-5.50951666076109
198,-5.509963761990226
199,-5.510168023104049
200,-5.510632249762085
201,-5.51088052975551
202,-5.511214390353576
203,-5.511457587601043
204,-5.5117194339653865
205,-5.511989096348474
206,-5.512259515126098
207,-5.51255233591452
208,-5.512878112828352
209,-5.513236297367195
210,-5.513636323878533
211,-5.514103800660338
212,-5.514548850931354
213,-5.5150265281338955
214,-5.514911555740662
215,-5.515922385404341
216,-5.515974107003457
217,-5.516858312204305
218,-5.516997873083348
219,-5.517622753471722
220,-5.5177777898877185
221,-5.518334673569243
222,-5.518543903445943
223,-5.518948638481896
224,-5.519181094863794
225,-5.5196048036702114
226,-5.51982161178199
227,-5.520181596179877
228,-5.52040853590053
229,-5.520640489989752
230,-5.520873542947116
231,-5.521090970621809
232,-5.52138835123504
233,-5.521692923158477
234,-5.522059024081783
235,-5.522402893838514
236,-5.522799967443715
237,-5.523100159334633
238,-5.523464239293498
239,-5.523639725365621
240,-5.524115374616853
241,-5.524343090431786
242,-5.5246413079303505
243,-5.524871402874213
244,-5.525141578197719
