iteration,value
0,70.21184262163655
1,-72.90792221520901
2,-146.945180874526
3,-248.25024963310224
4,-538.9454044143952
5,-1020.6926546458889
6,-1736.5550152463225
7,-2720.7639751398306
8,-4005.868935753352
9,-5629.19756290568
10,-7637.455111495235
11,-10090.04775605142
12,-12749.898514886467
13,-15893.692135493811
14,-19613.108720285472
15,-23564.473061301906
16,-28181.679741581876
17,-33600.280017987694
18,-39987.17856245986
19,-46766.64651493707
20,-54705.231353000614
21,-64047.41000936685
22,-73956.58345192955
23,-85569.82277942412
24,-99244.17484261874
25,-113767.08124864793
26,-130816.0656687737
27,-150916.73961655755
28,-172312.0263159418
29,-197497.88097546948
30,-221683.04300242072
31,-247305.29124589288
32,-273082.9166186968
33,-299887.6443381134
34,-325538.67713069194
35,-346192.70342420426
36,-348127.9211164582
37,-348772.8064056414
38,-351012.0684484539
39,-351295.36267292756
40,-352346.4551172333
41,-352268.66495260684
42,-352192.86100905493
43,-352185.8572610857
44,-352198.2458414938
45,-352195.7354937778
46,-352133.55566923093
47,-352096.0875588928
48,-352016.22015328443
49,-351978.2480391957
50,-351969.5554508701
51,-351969.27446997794
52,-351949.0442260492
53,-351847.46811389213
54,-352005.3026251018
55,-351976.1919942986
56,-352036.9775090765
57,-352185.60743255063
58,-352680.6326979256
59,-352754.4749088987
60,-352785.79449518403
61,-352749.95411159727
62,-352815.83170113503
63,-352844.1131964873
64,-355070.10455959715
65,-355065.27897618077
66,-355065.97965235024
67,-355065.3379356584
68,-355025.79661590134
69,-354848.92551423766
70,-354383.3127270466
71,-354353.0737913262
72,-354165.0489500377
73,-354149.27346384275
74,-354165.9709491824
75,-354189.94172389037
76,-354307.3606572328
77,-354419.32028125186
78,-354516.8416803693
79,-354219.5964026186
80,-353853.08339737885
81,-353853.5301340008
82,-353856.7766180812
83,-354056.7877876021
84,-354080.1897597361
85,-354095.62932585884
86,-354244.6717199495
87,-354271.42497915
88,-353690.3393574144
89,-353598.10846856906
90,-353554.64062136994
91,-353489.3881815582
92,-353459.4239871103
93,-353461.95126580016
94,-353468.0057076378
95,-353480.76977705426
96,-353481.6680484657
97,-353527.44805735146
98,-353610.75855876144
99,-353611.9921173622
100,-353466.8726776065
101,-353464.3360289487
102,-353475.67794171645
103,-354283.94183498493
104,-354229.8481275856
105,-354232.051295493
106,-354297.52990797866
107,-354305.7544865422
108,-354300.3692551583
109,-354526.0293847103
110,-354618.293983203
111,-354939.90522255475
112,-357403.3566115561
113,-357388.94212917506
114,-357376.106727159
115,-357385.92259042774
116,-356825.9265786874
117,-356944.81914770394
118,-356946.5400021019
119,-356948.2732545972
120,-357007.3351444147
121,-356610.87826614385
122,-356563.54859427374
123,-356680.03730369697
124,-356681.5752771161
125,-356678.47679507226
126,-356880.11773881206
127,-356903.29531378014
128,-356993.83573675575
129,-357029.900222923
130,-357024.6429428317
131,-356907.7808808142
132,-357080.84121063637
133,-357084.7640271032
134,-357337.5628506085
135,-357739.4573115941
136,-359352.82716427813
137,-359549.52039775765
138,-359894.10898761917
139,-359997.1390002492
140,-360035.56007564144
141,-360028.49567117513
142,-360029.6840826196
143,-359981.29529897374
144,-359973.10951432533
145,-359928.33149241284
146,-359939.55640149006
147,-360015.5714023102
148,-360058.7340702297
149,-360081.87969661475
150,-363275.512435142
151,-362938.46832483046
152,-362470.84233791445
153,-362449.16908347805
154,-362294.28870968684
155,-362279.9348331391
156,-362258.07339521643
157,-362356.9937693743
158,-361657.30495453865
159,-361690.8987079824
160,-361728.39804871543
161,-361872.6814406458
162,-363672.2213370314
163,-363689.9101169192
164,-363759.22061809036
165,-363686.58938994183
166,-362092.6119255817
167,-362409.23090720194
168,-362253.9106743242
169,-362268.5790106647
170,-362269.00234182295
171,-362269.8347486548
172,-362281.8236441525
173,-362286.4798456258
174,-363365.4653413748
175,-363368.2185121376
176,-363380.41945598344
177,-363465.7165145337
178,-363572.05567799037
179,-364660.07907255925
180,-364676.4931064739
181,-364718.8827409079
182,-365121.677574598
183,-365126.4156501604
184,-365120.56776118773
185,-365120.2151627256
186,-365120.9902686749
187,-365097.33984126855
188,-365104.3099461883
189,-365105.04685302946
190,-365097.30002550455
191,-365104.1266540471
192,-365104.7721585908
193,-365410.6948136389
194,-365516.29184242693
195,-365519.1669827228
196,-365548.3473079355
197,-365337.00596589077
198,-365262.4840357167
199,-365262.57995058375
200,-365270.40929523995
201,-365352.73094633303
202,-365361.1427711384
203,-365519.30488988495
204,-365524.0407351264
205,-365484.8413642469
206,-365129.2244158005
207,-365014.5432836808
208,-365442.6945883706
209,-365445.5333264273
210,-366148.0350409326
211,-366177.43737515516
212,-366225.0809214334
213,-366276.67444236303
214,-366328.58862534584
215,-366368.3118636628
216,-366408.4404879472
217,-366435.7452835497
218,-366411.78954608145
219,-366399.8398006891
220,-366285.4002817177
221,-366278.61214798264
222,-366272.8385787534
223,-366171.52725131897
224,-366156.3945578199
225,-366155.94249716314
226,-366156.29993121105
227,-365794.07464281656
228,-365681.9806761872
229,-365683.3573952594
230,-365730.90438797785
231,-365689.1381205929
232,-365094.00601939275
233,-365093.9097307292
234,-365089.74794602155
235,-365029.985163267
236,-365000.15446263197
237,-364981.4924530943
238,-364966.3356379605
239,-364976.90136116743
240,-364979.3240743463
241,-364978.6965348413
242,-364045.6881846182
243,-363959.14932714944
244,-363880.36187024537
245,-363810.17942943017
246,-363622.353020649
247,-363612.43924428243
248,-363610.97656567185
249,-363614.4500035209
250,-363610.8093806128
251,-363766.8513094343
252,-363768.9329731343
253,-363765.1342266361
254,-363765.0823798747
255,-363762.5524978632
256,-363757.4661584403
257,-363754.7431041443
258,-363750.0084594139
259,-363750.81899372255
260,-363736.26617447287
261,-363295.66898184817
262,-363200.71989456826
263,-363160.53358427645
264,-363160.7152907318
265,-363159.2544062727
266,-363160.82138033176
