iteration,value
0,404.16160287762256
1,51941.132607656764
2,2392.3824171748665
3,1502.8497593521315
4,732.2248180497403
5,468.4355789115447
6,335.7704243161824
7,257.16938895181016
8,205.99229047057395
9,170.57697119114658
10,144.9822164446504
11,125.8850960560487
12,111.27710317435388
13,99.88005013883718
14,90.85144739650362
15,83.59241413834171
16,77.69826151502923
17,72.8544228056582
18,68.84525387399104
19,65.49349931449488
20,62.67391300727594
21,60.28087809749421
22,58.235803637165354
23,56.46898237297592
24,54.93416724534953
25,53.59682995979864
26,52.41263072508675
27,51.35864961853629
28,50.41204823879864
29,49.55675069250776
30,48.777958906579
31,48.063632174469014
32,47.400932551628856
33,46.78243402215221
34,46.20965679456888
35,45.67450439159376
36,45.166374764974556
37,44.6823499565645
38,44.23538148299703
39,43.8162815862282
40,43.41815862618235
41,43.04629552880974
42,42.6966825462911
43,42.37417153776574
44,42.06501188635161
45,41.774013821038885
46,41.53467176397026
47,41.30971514702993
48,41.098964428199636
49,40.89200159755751
50,40.664377859832115
51,40.47667153577628
52,40.27934121283394
53,40.07541526440373
54,39.90371837099502
55,39.720376548456876
56,39.54446726578589
57,39.42200776289218
58,39.28493329654975
59,39.12834243497353
60,39.01264752515776
61,38.913792026120895
62,38.84291228243672
63,38.78919574360507
64,38.75164399414621
65,38.72680680455482
66,38.705105214418275
67,38.69226730847952
68,38.68202707568948
69,38.67520969580465
70,38.6704609239814
71,38.66715798018688
72,38.66487741132787
73,38.66340236199116
74,38.66246267636219
75,38.66171512188877
76,38.66115548302424
77,38.66079192722412
78,38.660545350333756
79,38.66037482896478
80,38.66024334775779
81,38.66015803768133
82,38.66009782220565
83,38.66005672061355
84,38.66002891059962
85,38.66000862014304
86,38.659993713500235
87,38.65998309042444
88,38.65997531215225
89,38.6599695571979
90,38.659965360892535
91,38.65996224153501
92,38.659959966572096
93,38.65995828369932
94,38.659957028721614
95,38.65995600925139
96,38.65995525027393
97,38.659954678764045
98,38.65995424694523
99,38.65995391938111
100,38.65995364900238
101,38.65995345106746
102,38.65995330346781
103,38.65995319177978
104,38.65995310733408
105,38.65995304357919
106,38.65995299055089
107,38.65995295115772
108,42.88738178165449
109,42.78936901774396
110,40.9861991090209
111,39.09356826083278
112,38.88771314613323
113,38.828611438515146
114,38.76900065207972
115,38.73707988936401
116,38.71322787895673
117,38.68794647538988
118,38.68125191999978
119,38.67174240463816
120,38.66855664590411
121,38.66527585838949
122,38.66345263751931
123,38.66230969069833
124,38.66148667332353
125,38.66098159799805
126,38.66078234791042
127,38.66050349371369
128,38.6603154771142
129,38.66017960166253
130,38.66011694785461
131,38.660064337525405
132,38.6600265792647
133,38.66000357955465
134,38.65998682221617
135,38.65997684558056
136,38.65996981073473
137,38.659964286939186
138,38.659960471727054
139,38.659958171344236
140,38.65995661803463
141,38.659955484836495
142,38.65995461105924
143,38.65995410904922
144,38.65995374193188
145,38.6599534693921
146,38.659953283223764
147,38.659953152060524
148,38.65995305890279
149,38.65995299346535
150,38.65995294774313
151,38.659952913534795
152,38.65995288921365
153,38.65995287261903
154,38.65995286019414
155,38.65995285132526
156,42.59419885561643
157,42.94618369587548
158,41.13355798633667
159,39.099292247980145
160,38.874604284727575
161,38.86629338628062
162,38.78186421704224
163,38.737704983149875
164,38.716760160673424
165,38.69869316084293
166,38.68043452619914
167,38.673527184567035
168,38.669090490560436
169,38.66568957961463
170,38.66352293177269
171,38.662220818657794
172,38.66150945949783
173,38.66098943320089
174,38.66069855057815
175,38.660417588527025
176,38.660253070546986
177,38.66015247271186
178,38.66008651999911
179,38.66004783819178
180,38.66001879444145
181,38.660000508818804
182,38.65998545713213
183,38.65997548793022
184,38.65996883147293
185,38.659963643684655
186,38.65996034195905
187,38.6599581059709
188,38.65995662018614
189,38.65995551957605
190,38.659954633463784
191,38.65995407918507
192,38.659953707381455
193,38.65995345387046
194,38.65995328671656
195,38.65995316523598
196,38.65995307041521
197,38.65995300417805
198,38.65995295554418
199,38.659952920627376
200,38.65995289524036
201,38.659952876829855
202,38.65995286352186
203,38.659952853963816
204,38.65995284681029
205,38.659952841502744
206,38.65995283752503
207,38.65995283434346
208,38.659952831975055
209,38.659952830242055
210,38.6599528289249
211,38.65995282793588
212,38.65995282718652
213,38.65995282656868
214,38.65995282611023
215,38.65995282576654
216,38.65995282550735
217,38.65995282531275
218,38.659952825164126
219,38.65995282503957
220,38.65995282494689
221,38.65995282487718
222,38.65995282482442
223,38.65995282478448
224,38.65995282475107
225,38.659952824726254
226,38.65995282470757
227,38.65995282469345
228,38.65995282468274
229,38.65995282467461
230,38.6599528246684
231,38.659952824663165
232,38.65995282465924
233,38.65995282465627
234,38.65995282465402
235,38.6599528246523
236,38.65995282465084
237,38.65995282464976
238,38.65995282464894
239,38.65995282464832
240,38.65995282464785
241,38.65995282464748
242,38.6599528246472
243,38.659952824646965
244,38.65995282464679
245,38.65995282464666
246,38.65995282464655
247,38.659952824646474
248,38.6599528246464
249,38.65995282464635
