iteration,value
0,106.22703069010838
1,161.6463102081644
2,101.45947982846172
3,69.79986475846859
4,69.37197254123483
5,69.32165960287723
6,69.31556714416367
7,69.31485869559197
8,69.31474711558747
9,69.3147251747391
10,69.3147183050381
11,69.3147180743545
12,69.31471805815255
13,69.31471805634588
14,69.3147180560674
15,69.31471805601278
16,69.31471805599982
17,69.31471805599625
18,69.31471805599514
19,69.31471805599477
20,69.31471805599463
21,69.31471805599458
22,69.31471805599455
23,69.31471805599455
24,69.31471805599455
