iteration,value
0,301.0494437445066
1,1100.7863970961523
2,216.52653790624026
3,-61.95774169184855
4,-83.09393807223503
5,-89.08881790899441
6,-91.01487186037534
7,-91.6495803850826
8,-91.87034742195148
9,-91.95579890801842
10,-92.00018587837532
11,-92.02950160641132
12,-92.05522092004531
13,-92.07991652193226
14,-92.10481720930586
15,-92.13194823121079
16,-92.16978290169061
17,-92.22602758780724
18,-92.30955428572929
19,-92.43995492577092
20,-92.64273517256
21,-92.99153628507476
22,-93.58062736032969
23,-94.53853605316603
24,-95.73776787237951
25,-96.92525856325797
26,-98.13386387341488
27,-98.69676553335646
28,-99.14306133210091
29,-99.5829217200704
30,-100.008607303392
31,-100.41205819760444
32,-101.44307526441641
33,-102.3083679824401
34,-103.22069201455918
35,-104.11555121384403
36,-104.94746026266505
37,-105.75804683457048
38,-106.63400231008794
39,-107.49151855168505
40,-108.16800573463755
41,-108.69887507700793
42,-109.22772982492842
43,-109.85185944418684
44,-110.58327484684601
45,-111.3790315007014
46,-112.15900055803004
47,-112.95318583298236
48,-113.83078807017093
49,-114.62694187220706
50,-115.4543094833451
51,-116.30818908536278
52,-117.2134113174356
53,-118.03215215184007
54,-118.76725524525176
55,-119.55241575849003
56,-120.62136893010015
57,-122.09208154683034
58,-124.05898514757075
59,-126.44378968087022
60,-129.04167149415238
61,-130.72573609600323
62,-133.2321082853082
63,-134.2312871604887
64,-135.04893923640847
65,-135.90872038018185
66,-136.8101107537786
67,-137.73310857911977
68,-140.3803965068638
69,-142.31299009959957
70,-143.8514493083139
71,-144.73961630942034
72,-145.45540265559634
73,-146.23873129074718
74,-147.03483532656387
75,-147.85324213084877
76,-150.1479915988738
77,-152.0823480974148
78,-154.08733781599022
79,-155.610602971893
80,-156.41309051782187
81,-157.07241407390327
82,-157.78052840509454
83,-158.57758834361152
84,-159.41017444286337
85,-162.02365019094216
86,-163.71672536783768
87,-165.74506292217282
88,-166.76285367048982
89,-167.6336057561719
90,-168.6201538969036
91,-169.72100518776122
92,-170.9277062854052
93,-175.52252009324852
94,-177.4673473479083
95,-179.3025102951802
96,-180.68944064894063
97,-182.20132329868522
98,-183.50594818504902
99,-184.99752154803048
100,-189.37410088053818
101,-190.93675209825318
102,-195.37381834720523
103,-196.8032166124468
104,-197.89110954915682
105,-199.04380226881653
106,-200.21397883043727
107,-201.2980666976946
108,-205.3273255170039
109,-206.85425384133114
110,-211.09638860076387
111,-212.4672421790624
112,-213.6070655923541
113,-214.75570778794423
114,-216.0004101088282
115,-217.22579300598147
116,-221.48018995139253
117,-223.35712363138933
118,-224.74709410340353
119,-225.9026492242547
120,-227.0917793591214
121,-228.3171260228115
122,-229.6198713466597
123,-234.78130357383176
124,-237.04144408410409
125,-243.34027717296823
126,-245.51009923203588
127,-247.21900135235944
128,-248.9589002524858
129,-250.66911448209862
130,-252.49704007262278
131,-258.2787949288501
132,-263.3570142362185
133,-265.4740761261453
134,-267.10146652506535
135,-268.81669911751544
136,-270.6299877044138
137,-272.240549002511
138,-278.0746985836872
139,-281.4613106194786
140,-283.50510120152074
141,-285.1995388842107
142,-286.85358763547214
143,-288.5299956198327
144,-290.19691323712834
145,-296.38542856446645
146,-299.8816905506158
147,-301.83796411540015
148,-303.4622746860836
149,-305.0331891346339
150,-306.8612752191789
151,-308.52131220493044
152,-315.61352038525126
153,-319.0522021613183
154,-321.5302328294788
155,-323.5824219840868
156,-325.6117105795908
157,-327.8552369065893
158,-330.07913734404843
159,-338.6087358746779
160,-344.2194599574202
161,-346.86764002246457
162,-349.08114959316106
163,-351.15930566723915
164,-353.22029390313236
165,-355.5721974606184
166,-362.3327589916422
167,-368.56418385093497
168,-371.41294461750044
169,-373.594355443219
170,-375.69139778657546
171,-377.8147080201876
172,-380.1798834825942
173,-387.3710595832642
174,-392.5528358409969
175,-395.2308194102001
176,-397.40758346888185
177,-399.58342308335756
178,-401.82831474215374
179,-404.2618923944351
180,-411.6643393114819
181,-420.587486202891
182,-424.6999878692394
183,-427.7209103609143
184,-430.74439358420756
185,-433.86653587430277
186,-436.7651949385626
187,-440.6202894064201
188,-455.8969290810246
189,-459.7267507853155
190,-463.38699801653615
191,-466.6703888296305
192,-470.09117356524325
193,-472.72689711713053
194,-481.96838221127575
195,-494.18657101644294
196,-497.9647071834182
197,-501.3060334418788
198,-504.39508035346034
199,-507.6795077497406
200,-510.7047439376545
201,-514.0313125164457
202,-517.2211467839509
203,-520.7659865659455
204,-524.837728025257
205,-528.1397796079426
206,-531.5850905397873
207,-537.7156704219067
208,-556.3625366153174
209,-560.7290426111243
210,-564.728909487311
211,-568.7117462356522
212,-571.9397246746153
213,-576.221875973693
214,-580.0672421794479
215,-583.8884820210828
216,-587.7319249329997
