iteration,value
0,5353.7775075257105
1,22951758.26332945
2,2820563.882519456
3,624447.2890584801
4,279579.0983593267
5,141942.53487006485
6,84328.60235147829
7,54267.92531171611
8,36646.06879814865
9,23435.57731531785
10,15573.222805367
11,9547.148913287445
12,6034.006859282224
13,3354.656495940682
14,1896.3516598096435
15,1070.164199706111
16,466.69840416114016
17,146.1320092098944
18,87.58741881476374
19,89.91174502353903
20,96.4859303882091
21,106.58771162166765
22,119.4269820378812
23,134.16063338929774
24,149.92323246531166
25,165.85067271365574
26,181.08090230154505
27,194.77335822905118
28,206.1088451850266
29,214.24512438870536
30,218.3414327266652
31,218.4743835430408
32,215.35535288471868
33,226.03278330212004
34,230.6140804855234
35,225.73127714761546
36,280.99233147424405
37,313.3172596108193
38,339.11861589156837
39,353.09903640619115
40,359.91902364011565
41,361.9832835587074
42,360.1673609512259
43,339.3334399203186
44,309.86936937463344
45,291.5192417987259
46,268.38686003500686
47,253.79969043384273
48,254.29837243897256
49,249.58023010000025
50,249.91385397810845
51,244.42123279413732
52,236.357431842232
53,255.7597524898302
54,256.7827700405797
55,195.23125743298175
56,216.74644392112563
57,214.76957109831906
58,201.6065990510981
59,215.10036272037706
60,204.99593258265784
61,192.5105912562931
62,204.4394796702989
63,187.20763574930186
64,191.22697645151484
65,170.63833281553067
66,186.61341946129332
67,167.52689379127528
