iteration,value
0,70.21184262163655
1,-72.90792221520901
2,-146.945180874526
3,-248.25024963310224
4,-580.0892375891914
5,-1204.1189325699997
6,-2263.8581554005114
7,-3930.4908909936785
8,-6419.559069596376
9,-10018.513132392773
10,-15125.326360139494
11,-22301.40228688245
12,-32345.75719976519
13,-43869.2992009852
14,-59258.88845985804
15,-80057.07261485262
16,-108503.13061975234
17,-140635.11453521022
18,-183623.03858257667
19,-242062.08971167807
20,-322733.77888397855
21,-414541.17792818096
22,-539140.4470982202
23,-711133.8965378553
24,-906641.6287773167
25,-1172825.543576826
26,-1541716.8727726392
27,-1962015.132907427
28,-2537187.703783322
29,-3338881.756701212
30,-4255532.863860621
31,-5517570.291885901
32,-7286476.332361038
33,-7379286.917561775
34,-7459691.2973238705
35,-7521149.885020944
36,-7546630.556442001
37,-7567699.915059166
38,-7582029.474248715
39,-7857231.573067287
40,-7858500.194413489
41,-7863108.245853176
42,-7872064.383699464
43,-7872035.012691995
44,-7872067.460275324
45,-7872072.983372835
46,-7872066.345515292
47,-7872024.993993875
48,-7871984.511679615
49,-7872095.67685166
50,-7872281.845552699
51,-7873926.859034523
52,-7874563.9041677965
53,-7874370.885464135
54,-7881126.976657306
55,-7886023.406557226
56,-7886460.811521036
57,-7886344.8356537875
58,-7886635.229088725
59,-7886983.474524868
60,-7886431.405378422
61,-7888197.242717993
62,-7890185.759492848
63,-7896905.272755434
64,-7892081.885656284
65,-7892023.37543596
66,-7892022.292653527
67,-7892046.41196815
68,-7892266.288029149
69,-7892433.922564782
70,-7892364.823802772
71,-7892371.736354473
72,-7892487.259951144
73,-7897094.25728271
74,-7911013.667704616
75,-7911105.682600011
76,-7911424.585350846
77,-7911802.110593851
78,-7911861.637036322
79,-7912022.049193694
80,-7915595.8012434
81,-7919526.457811155
82,-7919669.88563356
83,-7919871.287695428
84,-7920054.926756909
85,-7920215.20531444
86,-7920230.907844578
87,-7920658.101043169
88,-7920872.944735989
89,-7921755.60002321
90,-7922463.478559965
91,-7922540.606686345
92,-7922740.914057667
93,-7922833.984134456
94,-7922896.705604481
95,-7923344.44174422
96,-7923834.711902782
97,-7925453.619046157
98,-7925871.972956847
99,-7925892.166693002
100,-7925889.910792565
101,-7925867.043517761
102,-7925824.048049569
103,-7925759.466557051
104,-7925709.148939068
105,-7925784.659915956
106,-7925942.140615019
107,-7923492.920945499
108,-7923321.2957218
109,-7923325.876207972
110,-7923325.057097317
111,-7923327.6788809495
112,-7923324.562665424
113,-7921764.406930571
114,-7921118.775426546
115,-7921099.701024539
116,-7921085.262849398
117,-7921083.838443689
118,-7921092.841365873
119,-7921092.663537316
120,-7921111.432797118
121,-7921342.141434626
122,-7922336.470436601
123,-7928102.634326954
124,-7928043.976955077
125,-7927812.489424135
126,-7926129.923478732
127,-7926113.27845407
128,-7925749.076123178
129,-7925750.122555373
130,-7925754.27189384
131,-7925753.67686062
132,-7925759.452664288
133,-7925762.399832008
134,-7925762.452429168
135,-7932909.192098075
136,-7932911.094289769
137,-7932820.063285687
138,-7931416.0275915265
139,-7931426.356936855
140,-7931432.2212029835
141,-7931431.823899369
142,-7929742.110632042
143,-7929741.432859068
144,-7929732.307298612
145,-7929726.184652022
146,-7929702.763550938
147,-7929700.097468861
148,-7929669.3922553025
149,-7929273.000886287
150,-7928976.6975187175
151,-7928954.209346619
152,-7928596.961424989
153,-7928256.794653714
154,-7928060.689370101
155,-7928083.26828416
156,-7928271.527816192
157,-7930925.89279666
158,-7930924.3769924585
159,-7930929.662742757
160,-7930932.189852468
161,-7930852.93819181
162,-7930830.867162893
163,-7929892.291006538
164,-7929878.729343913
165,-7929860.429025949
166,-7928491.040354279
167,-7928571.840651343
168,-7929724.6355590075
169,-7930250.241577681
170,-7930249.024337938
171,-7930183.365184794
172,-7930127.772258097
173,-7929093.365368706
174,-7929050.587944685
175,-7929000.916763931
176,-7928642.292552551
177,-7928614.320974952
178,-7928582.913533203
179,-7928580.652885706
180,-7928567.969445466
181,-7928540.656415723
182,-7928515.863201808
183,-7928567.9064658545
184,-7930553.162819095
185,-7930557.233922053
