iteration,value
0,0.17590066279927274
1,-239.7194649326591
2,-1276.9573259428867
3,-4482.513084484091
4,-12714.854013861664
5,-28083.93936865564
6,-52632.76043415369
7,-88518.30162355777
8,-138381.3155626848
9,-198261.04659009466
10,-274697.9636292588
11,-361507.94992432353
12,-468621.5243777255
13,-601578.791037489
14,-750027.006909638
15,-931837.425215786
16,-1156465.5846274348
17,-1436346.1326270262
18,-1750825.5147462282
19,-2139527.148619385
20,-2624329.666938554
21,-3170085.028053345
22,-3846680.3290722705
23,-4693255.504734388
24,-5649637.180942307
25,-6840006.5058614435
26,-8335417.39629922
27,-10031742.319862869
28,-12151895.552317435
29,-14545493.049462335
30,-17524869.70746664
31,-21268513.335229345
32,-25517190.37191627
33,-30832154.0704997
34,-37543606.697072044
35,-45197036.21230373
36,-54813747.98308071
37,-67010164.55050705
38,-80976238.99383786
39,-98590533.8739075
40,-121011180.4025168
41,-146772633.04857266
42,-179360406.0545041
43,-220959353.05209658
44,-268883160.701806
45,-329641704.9313297
46,-407366070.16115624
47,-497079489.28525263
48,-610997507.8648609
49,-756937805.6037561
50,-925604897.87013
51,-1139991078.1192095
52,-1414889253.6922183
53,-1732837946.4122
54,-2137190561.9325497
55,-2655920669.87273
56,-3256108089.308919
57,-4019566169.1946673
58,-4999145185.878337
59,-6132659391.065848
60,-7574529103.81586
61,-9424507819.230679
62,-11565040852.640833
63,-14287528882.336744
64,-17780086484.339924
65,-21820504221.440826
66,-26958437967.95184
67,-33548366984.084183
68,-41170476274.39941
69,-50861032298.875916
70,-63287615513.87412
71,-77657662148.90038
72,-95923873063.90103
73,-119342940663.17953
74,-146419757395.97186
75,-180832297208.50952
76,-224945534152.45343
77,-275941097347.8408
78,-340744069439.8928
79,-423804286001.0886
80,-519812176154.0796
81,-641803052103.0637
82,-798148697888.9463
83,-978851126295.1642
84,-1208442293318.9028
85,-1502671970340.1384
86,-1882919780112.6726
87,-2325884167076.1626
88,-2892651336069.028
89,-3623889201720.097
90,-4574997981906.811
91,-5689519875788.664
92,-7122666553091.094
93,-8783674712488.809
94,-10898236643577.955
95,-13612746787626.016
96,-17125855143014.822
97,-21222696084682.46
98,-26467416116619.715
99,-32520561135082.566
100,-40197799351599.7
101,-50017932758199.555
102,-61344557375289.516
103,-75704933522804.1
104,-94068562754492.86
105,-115246118539735.06
106,-142096248456218.28
107,-176433693437976.4
108,-216038264320765.56
109,-266262556990356.12
110,-330508576377533.94
111,-404630991421055.25
112,-498659441746030.6
113,-618979589809463.5
114,-757844624649774.6
115,-934064284094834.0
116,-1159636627491359.2
117,-1450840926728329.2
118,-1789749937735520.0
119,-2223043875192875.2
120,-2722640580326823.5
121,-3355969068426908.0
122,-4165802614661326.5
123,-5099761436656174.0
124,-6284069500384200.0
125,-7798920869228063.0
126,-9546564656798274.0
127,-1.1763491990713304e+16
128,-1.4600250831874314e+16
129,-1.7874209139043626e+16
130,-2.2028878436211052e+16
131,-2.7347164948867468e+16
132,-3.3487369902907868e+16
133,-4.128200611485197e+16
134,-5.126309032732933e+16
135,-6.279041044415253e+16
136,-7.742790286124107e+16
137,-9.617653530675608e+16
138,-1.1783526655648627e+17
139,-1.4534392635026662e+17
140,-1.805863550545255e+17
141,-2.2130699875269824e+17
142,-2.7303467227849725e+17
143,-3.393153483520847e+17
144,-4.159095969447939e+17
145,-5.132187102325738e+17
146,-6.379176753977984e+17
147,-7.820334639602744e+17
148,-9.651381444786607e+17
149,-1.199796686833903e+18
150,-1.471008234124907e+18
151,-1.815606081429776e+18
152,-2.2572413983351286e+18
153,-2.7676837462068045e+18
154,-3.4162549394975237e+18
155,-4.2474710359022136e+18
156,-5.208197538541155e+18
157,-6.428902808137686e+18
158,-7.993369181696979e+18
159,-1.0015339973417716e+19
160,-1.2370986168512416e+19
161,-1.5385265332254755e+19
162,-1.927461377543179e+19
163,-2.3798089674317808e+19
164,-2.9576460101622276e+19
165,-3.623290782508631e+19
166,-4.466281861365299e+19
167,-5.54311986952325e+19
168,-6.783735493138666e+19
169,-8.35531733683028e+19
170,-1.0363516061680398e+20
171,-1.2678054165481726e+20
172,-1.5611417816319725e+20
173,-1.9361562991145953e+20
174,-2.41968508677897e+20
175,-2.981764856040937e+20
176,-3.6996297645516325e+20
177,-4.5265357282809754e+20
178,-5.5738975683650657e+20
179,-6.912069339180034e+20
180,-8.636370415848876e+20
181,-1.0876648855844e+21
182,-1.3499515970325958e+21
183,-1.687027909093642e+21
184,-2.077535169570497e+21
185,-2.5745741252112784e+21
186,-3.212553569262958e+21
187,-4.038181675700294e+21
188,-5.001035126466162e+21
189,-6.233854803417507e+21
190,-7.656993595486143e+21
191,-9.462444122055924e+21
192,-1.1772492212563687e+22
193,-1.4752813583136369e+22
194,-1.8218519364439917e+22
195,-2.2644826434660907e+22
196,-2.7742692251169947e+22
197,-3.4197340957075e+22
198,-4.244065276475418e+22
