iteration,value
0,0.3595216070058529
1,0.28380214897606676
2,0.004098447719965009
3,-7.617201548358766
4,-7.246598705662094
5,-6.445585062969241
6,-6.823721573199013
7,-8.365180960881963
8,-7.236354391957074
9,-7.301735943188837
10,-7.491025668761178
11,-9.061184060186012
12,-9.171942629770063
13,-9.144299627532195
14,-9.083828769156593
15,-9.129101910391258
16,-9.347457237832835
17,-9.367226353095882
18,-9.338271467635872
19,-9.311496019355731
20,-9.427620363585202
21,-9.432808039757056
22,-9.433777753817749
23,-9.420307726563566
24,-9.401959677980015
25,-9.336909776138066
26,-9.372528951599394
27,-9.366720553345186
28,-9.299838980815746
29,-9.334552363646255
30,-9.350595528462714
31,-9.306126481853877
32,-9.426492221530689
33,-9.381225077580892
34,-9.311811490170852
35,-9.40560215587196
36,-9.424929710564946
37,-9.445719636293672
38,-9.43805490665429
39,-9.438549665756431
40,-9.433353837673621
41,-9.436244200831245
42,-9.437740839806999
43,-9.44407770375795
44,-9.444077126008565
45,-9.44601768878636
46,-9.445282959477957
47,-9.446377122256784
48,-9.446404893689392
49,-9.446947436970522
50,-9.446784750026277
51,-9.446844102660153
52,-9.446984800020257
53,-9.447001870443735
54,-9.446976523644924
55,-9.447032912205266
56,-9.447039287179798
57,-9.44704821881807
58,-9.44704726610107
59,-9.447045895208136
60,-9.447059110400273
61,-9.447059314124562
62,-9.447061577322962
63,-9.447063482248751
64,-9.447064524310063
65,-9.447065603690621
66,-9.447066513429576
67,-9.447067275343198
68,-9.447068004353643
69,-9.44706877128305
70,-9.447069523417046
71,-9.44707020300726
72,-9.447070868573459
73,-9.447071551335583
74,-9.447072283830089
75,-9.447073019202069
76,-9.447073763999251
77,-9.447074459076527
78,-9.447075305482441
79,-9.44707603267681
80,-9.44707681902963
81,-9.447077502229089
82,-9.447078178331997
83,-9.447078874312005
84,-9.447079613215761
85,-9.447080374260198
86,-9.4470811825128
87,-9.447082015308126
88,-9.44708287349417
89,-9.447083751250934
90,-9.4470845770824
91,-9.447085499806494
92,-9.447086450275908
93,-9.447087440617276
94,-9.447088146088456
95,-9.447089060769427
96,-9.447089778821796
97,-9.447090632620181
98,-9.447091382096316
99,-9.447092235595388
100,-9.447093131747774
101,-9.44709401726241
102,-9.447094925854794
103,-9.447095720964711
104,-9.447096543016457
105,-9.447097269419608
106,-9.447098080358245
107,-9.447098716845204
108,-9.447099528824285
109,-9.447100328705993
110,-9.447101166286773
111,-9.447101902290305
112,-9.447102752506774
113,-9.447103675039497
114,-9.44710466154059
115,-9.447105603464665
116,-9.447106535512209
117,-9.447107352987638
118,-9.447108042272493
119,-9.447108904862692
120,-9.447109696166507
121,-9.447110445733156
122,-9.447111214086611
123,-9.447112011907409
124,-9.447112842335963
125,-9.44711365116554
126,-9.447114455753887
127,-9.44711513967878
128,-9.447115816599679
129,-9.447116620452245
130,-9.447117449781738
131,-9.44711826701556
132,-9.447119091564327
133,-9.447119889106308
134,-9.447120614476793
135,-9.44712124181266
136,-9.44712196519768
137,-9.44712269507646
138,-9.447123470970649
139,-9.44712432176215
140,-9.447125160972297
141,-9.447125841238307
142,-9.447126575283564
143,-9.447127338877566
144,-9.447128132526663
145,-9.44712884603251
146,-9.447129488748514
147,-9.447130258948963
148,-9.447131047012382
149,-9.447131791423288
150,-9.447132430448397
151,-9.447133134080529
152,-9.447133917928086
153,-9.447134694593021
154,-9.447135431255745
155,-9.447136006040367
156,-9.271504211991017
157,-6.348106088249137
158,-7.338261125098742
159,-8.92491971715688
160,-9.287092499429315
161,-9.301069660663728
162,-8.537251390534214
163,-7.751805985357883
164,-8.157593958187444
165,-9.052323445353595
166,-9.239957146758467
167,-9.404484896012839
168,-9.36090982818904
169,-9.385415565608303
170,-9.422073786316567
171,-9.420587568182317
172,-9.43435386057786
173,-9.428591864331835
174,-9.319749629457696
175,-9.086671294839261
176,-7.317756377884855
177,-7.6212552683047665
178,-9.36889598628254
179,-9.401684469779529
180,-9.342791496518775
181,-8.944384823624997
182,-9.057675992722496
183,-8.164219612323702
184,-9.374385901807843
185,-9.403035608518778
186,-9.34623062189397
187,-9.393441733733013
188,-9.363897940564923
189,-9.373024825315566
190,-9.377544881847507
191,-9.38610016680817
192,-9.435530850834875
193,-9.431987467485042
194,-9.439156151100638
195,-9.409349522695313
196,-9.429747404296325
197,-9.43365136059559
198,-9.397700378132827
199,-9.346757015003389
200,-8.68522345292011
201,-9.338808599542725
202,-8.732622558986206
203,-9.11151904065413
204,-9.062318113243366
