iteration,value
0,37515.96375536813
1,45876855.558842435
2,5864126.903658778
3,3306478.219360337
4,2014852.2931136643
5,1414301.5391500217
6,1059899.0842465565
7,825545.0060439851
8,659678.125104251
9,536871.2912368403
10,442980.68840737635
11,369468.1041584411
12,310854.1572925174
13,263442.0836317459
14,224651.47585210684
15,192620.0921121796
16,165971.49585442842
17,143664.4854166064
18,124891.88469712836
19,109030.32286964521
20,95579.46641376344
21,84137.35954486764
22,74381.67735721715
23,66043.28306358411
24,58907.39045209316
25,52788.21964393206
26,47538.003605276135
27,43026.1418396398
28,39147.07889466638
29,35807.75316147751
30,32932.03291111565
31,30453.34944186543
32,28315.81545765038
33,26469.93169494282
34,24875.1726103825
35,23492.934224883033
36,22294.40619959105
37,21253.59995614692
38,20346.59025374643
39,19550.010847192363
40,18850.58001697422
41,18234.185292091086
42,17684.426950595214
43,17190.411696276733
44,16741.976527186736
45,16335.113733460912
46,15919.448285739103
47,15540.978761784429
48,15193.753441532044
49,14842.207597674838
50,14512.7724074038
51,14203.489855210339
52,13880.000118342723
53,13588.097438155348
54,13277.725857711917
55,13023.947767432637
56,12741.114605483808
57,12459.128811348925
58,12240.75115491521
59,12003.309275629854
60,11738.592986953923
61,11488.147527132429
62,11364.062489176622
63,11200.69335213318
64,11017.81604681506
65,10904.99252853007
66,10806.31098976814
67,10708.60835619441
68,10651.210367212288
69,10579.442049348294
70,10529.35169511351
71,10474.439213482132
72,10428.68062518322
73,10399.839057744019
74,10371.000533396113
75,10344.20553621193
76,10319.475317522176
77,10300.304904197079
78,10284.1153525272
79,10255.786788363857
80,10237.243902927661
81,10218.228274568275
82,10199.802040572782
83,10181.330356589546
84,10167.799589817481
85,10141.468860018704
86,10122.554723144005
87,10097.353435045834
88,10079.131668393691
89,10061.857390686217
90,10045.00956384018
91,10026.458274240875
92,10004.247751243267
93,9990.195851567318
94,9964.214672865855
95,9946.475306383887
96,9923.847018937815
97,9903.331858449274
98,9890.272606377801
99,9863.71526616833
100,9850.53404221756
101,9826.191555629539
102,9809.695946395837
103,9788.982908240692
104,9772.154219238877
105,9749.989593012222
106,9733.758768546215
107,9710.646043989736
108,9697.696575713373
109,9669.790957505546
110,9658.404288585516
111,9636.537803338237
112,9617.83312807142
113,9597.730591312695
114,9575.998689884502
115,9560.88483054065
116,9533.415429791647
117,9525.541862449054
118,9499.540740356473
119,9483.55539074241
120,9463.450703780172
121,9448.7785760262
122,9424.06752213776
123,9405.73513247198
124,9387.386495428613
125,9367.262391652059
126,9352.887812198054
127,9331.836975742204
128,9316.012184374847
129,9298.252369489355
130,9282.039974159188
131,9257.44905361531
132,9238.054105352596
133,9220.15265529091
134,9205.448223801988
135,9189.856231368236
136,9172.069290620437
137,9158.678604852292
138,9143.465094791618
139,9126.795944817606
140,9105.873632466659
141,9090.462618536112
142,9073.126991369283
143,9062.54767136641
144,9038.495353186487
145,9022.307223851534
146,9005.726773129982
147,8989.877777728936
148,8974.8299933021
149,8951.144918893031
150,8940.996129026835
151,8917.95217541233
152,8902.265061046452
153,8885.023396500928
154,8873.566365280682
155,8851.536465320041
156,8842.353889477667
157,8821.567751606397
158,8808.074066787962
159,8791.848558274334
160,8783.11771205712
161,8764.85628561181
162,8746.346866381484
163,8747.794823956903
164,8727.7054118083
165,8713.354378421598
166,8701.510228344432
167,8687.302587102697
168,8674.667063374463
169,8656.586136259235
170,8642.811483201138
171,8630.058957352818
172,8616.836025233772
173,8602.641289036213
174,8591.033718590137
175,8571.462513521583
176,8561.031155352894
177,8544.794408624892
178,8534.72449864706
179,8513.482125962357
180,8499.700389100248
181,8490.42825594269
182,8475.315857427016
183,8464.055917037858
184,8448.86560292454
185,8440.196365463169
186,8422.122695984945
187,8409.488861982485
188,8399.574055661313
189,8385.458687803613
190,8376.240874238616
191,8360.8009872089
192,8353.586486076685
193,8337.493697421105
194,8325.34814322688
195,8315.092159216343
196,8302.703759780748
197,8295.053408735615
198,8279.993417517873
199,8270.15212552866
200,8258.141107277163
201,8245.561570170554
202,8238.277219912685
203,8225.89064068574
204,8214.445866735354
205,8208.98371053444
206,8195.90248773074
207,8182.395328931003
208,8177.581503046948
209,8166.264712535808
210,8152.099160220328
211,8149.605463762103
212,8137.095978267142
213,8126.078762332627
214,8121.338136389397
215,8109.142080107272
216,8099.696725172172
217,8090.77398203393
218,8082.8432791569985
219,8070.019866348016
220,8061.074594029173
221,8051.779230901021
222,8041.639621139824
223,8032.467445267598
224,8021.629932561536
225,8012.825199844245
226,8001.783755656019
227,7994.137325382826
228,7986.843938791774
229,7975.634592054139
230,7965.652452787679
231,7956.038653598727
232,7948.224122429162
233,7937.135254757642
234,7931.1205826281575
235,7917.014457996674
236,7909.304854799213
237,7893.231152189035
238,7884.2476942024705
239,7877.080975569526
240,7865.070948272204
241,7857.641721016219
242,7847.454113252729
243,7840.008313113637
244,7831.0210501899155
245,7821.410020899631
246,7810.849497927642
247,7802.010384955305
248,7797.260055319862
249,7784.253635432632
250,7776.157456064363
251,7769.97841458682
252,7756.843095524464
253,7751.884906622676
254,7747.964547095571
255,7734.443634037274
256,7727.572265165852
257,7716.618257247769
258,7708.477648355057
259,7702.996634082109
260,7693.0691044731375
261,7687.939588345589
262,7678.7902783076
263,7673.35211016972
264,7663.627169441182
265,7661.488241116402
266,7649.55080411436
267,7643.12942581829
268,7634.16947547785
269,7627.354661975008
270,7620.084012275142
271,7612.773166552574
272,7605.6400245531795
273,7601.004235317187
274,7592.347641572278
275,7589.473028697139
276,7581.622430060719
277,7578.760288960987
278,7571.379934087645
279,7565.612032628475
280,7557.5119583546075
281,7547.55680326449
