iteration,value
0,9920.433957170826
1,39914.9515521483
2,956.2741013541247
3,736.6118311913702
4,598.9911833622057
5,525.13958982948
6,481.1211694125427
7,453.0904591488596
8,434.4237924955641
9,421.5957591333658
10,412.58067385140953
11,406.1449973217191
12,401.5030517557789
13,398.1354282345553
14,395.688864015112
15,393.91674764077885
16,392.64342935133203
17,391.74183931671683
18,391.1187004083386
19,390.704691465706
20,390.44760033148145
21,390.3306562441275
22,390.27783804300117
23,390.25484946005605
24,390.2454136419149
25,390.2419471402109
26,390.24064559039897
27,390.2397627705272
28,390.2386340054142
29,390.23696231337254
30,390.23471422597464
31,390.23240025665575
32,390.2300096249575
33,390.2275398609223
34,390.225027525997
35,390.2224320189493
36,390.21981316865407
37,390.2171259533118
38,390.21437181768863
39,390.21163555128953
40,390.2088815725193
41,390.2061319457748
42,390.20338185444433
43,390.20072020755777
44,390.1952051918771
45,390.1903003709342
46,390.183988691998
47,390.17878973109424
48,390.1731547496157
49,390.16868567119536
50,390.1641176107625
51,390.16056889639594
52,390.15707001879696
53,390.15431904063433
54,390.15161638472824
55,390.14942898940404
56,390.1475173372365
57,390.1457495531993
58,390.1440303705917
59,390.14308587440115
60,390.1430699503633
61,390.1423923139286
62,390.13826960520976
63,390.1358839376469
64,390.13378395716603
65,390.13394126639264
66,390.1358537400828
67,390.13028620332614
68,390.12600691047976
69,390.12491393133155
70,390.12057272155687
71,390.1198243350914
72,390.11615275680623
73,390.1154985206377
74,390.1124472176779
75,390.11178008673846
76,390.1091871116281
77,390.108575571788
78,390.10631945116836
79,390.10574747350654
80,390.10380858428516
81,390.1031890690002
82,390.1011026398403
83,390.10089311625643
84,390.09935461859425
85,390.0983917894744
86,390.09695761694024
87,390.09549506628696
88,390.09562660243404
89,390.09442635059713
90,390.0908638553947
91,390.09867285388503
92,390.08969180150893
93,390.09459923715553
94,390.0886552452166
95,390.0914839046971
96,390.08935628258536
97,390.0899638767426
98,390.08752562118474
99,390.08750303697434
100,390.0863998619722
101,390.08640905282465
102,390.08550418478575
103,390.0851006706127
104,390.0846152733826
105,390.0845758052211
106,390.0845791484077
107,390.0832326859807
108,390.083589603811
109,390.0825137047588
110,390.08270801451766
111,390.08161456196467
112,390.0817901585925
113,390.08107200318125
114,390.08105334848716
115,390.0804233736202
116,390.0799331410196
117,390.0799236786111
118,390.0795970369818
119,390.07839852162965
120,390.07922123926846
121,390.0778730941123
122,390.0789751123116
123,390.0772167530964
124,390.07835317801494
125,390.0769874891358
126,390.07745187800583
127,390.0770172073445
128,390.07645544565247
129,390.0768637075195
130,390.07586745990557
131,390.07613225553365
132,390.07578826608807
133,390.0753581454377
134,390.0756015322175
135,390.07487229641526
136,390.0750331774048
137,390.07471998583316
138,390.07439672709
139,390.07451734373404
140,390.0741033291079
141,390.0738688479184
142,390.0736439521918
143,390.0736947198531
144,390.07372277049336
145,390.07286615952137
146,390.0732034849171
147,390.07253824682283
148,390.0727961717179
149,390.0723231030481
150,390.0724420517372
151,390.0721443530139
152,390.0719878176672
153,390.07181571243274
154,390.07184697064963
155,390.071844245821
156,390.0712712951152
157,390.07167284782224
158,390.07099685442745
159,390.07133885227904
160,390.07081134114077
161,390.07119476560865
162,390.07072927285157
163,390.07089562143875
164,390.070489484124
165,390.0705864361513
166,390.07032989475334
167,390.0703518739011
168,390.07016769962445
169,390.0700954437027
170,390.0699611559568
171,390.06995662439266
172,390.0698125443075
173,390.0697796031802
174,390.06959793506377
175,390.0695944724849
176,390.0694555425129
177,390.0694154370746
178,390.06921153126183
179,390.06919830462755
180,390.0690276138407
181,390.06903172900377
182,390.0688328225275
183,390.06889044926254
184,390.06867823213804
185,390.0688493937707
186,390.068516256503
187,390.0688832333926
188,390.06838110056646
189,390.06877805410625
190,390.0683788176161
191,390.06859585153023
192,390.06818903992115
193,390.0683292509703
194,390.0682237461582
195,390.0680781426389
196,390.06819049906795
197,390.06793706682294
198,390.06800414790666
199,390.06792144759265
200,390.06780419765073
201,390.06787438861073
202,390.0676769233754
203,390.06772234284375
204,390.06763877247374
205,390.06755269201625
206,390.0675872655783
207,390.06747125862046
208,390.06740791017876
209,390.0673427391779
210,390.0673596392699
211,390.0673618904742
212,390.06711684752327
213,390.0673406580395
214,390.0670291591008
215,390.0673730862668
216,390.06693003956894
217,390.06745206064653
218,390.0669021191122
219,390.0671879951806
220,390.06700861592896
221,390.06707803723947
222,390.06679406735617
223,390.066812187782
224,390.06669815921373
225,390.06666407866174
226,390.0665962978653
227,390.06661126700436
228,390.06653455136535
229,390.06653279912325
230,390.0664694749836
231,390.06645855298837
232,390.0663807026176
233,390.0663803976228
234,390.0663210921307
235,390.06627413250305
236,390.06626007024084
237,390.06615690472194
238,390.06619011046257
239,390.0660518334667
240,390.06614741658876
241,390.06596732220623
242,390.0662079139465
243,390.0658904722967
244,390.0663367864273
245,390.06582263715245
246,390.0663405457382
247,390.0661501163596
248,390.0662808063419
249,390.06579866628005
250,390.0660431129963
251,390.065918990597
252,390.0659714072456
253,390.06570173244074
254,390.0658019043697
255,390.06575802598024
256,390.0656183064011
257,390.06574503504635
258,390.06565758260535
259,390.06555302671455
260,390.0655780368254
261,390.0654467637822
262,390.06548289309615
263,390.06544067727066
264,390.0653671324145
265,390.06542094410224
266,390.06534266577506
267,390.06536334130215
268,390.06524520238713
269,390.06528394303825
270,390.06522250871814
271,390.065229896356
272,390.06517657340726
273,390.0651218185425
274,390.0651605298107
275,390.0650545097579
276,390.06510997659154
277,390.06499234221855
278,390.06505330643705
279,390.06494375822473
280,390.0649918088029
281,390.06490580903727
282,390.06493649987283
283,390.06483735703756
284,390.0649045354334
285,390.06487116728624
286,390.0648505251098
287,390.06490614153665
288,390.0649553415757
289,390.064679903342
290,390.064938870838
291,390.06472297119427
292,390.06511205183176
293,390.0646757023925
294,390.0652602126704
295,390.0652985688878
296,390.06473481017883
297,390.06483963738515
298,390.06480598067617
299,390.0646074692623
300,390.0648072407439
301,390.0647274152007
302,390.06457540257884
303,390.0646238802369
304,390.06447258104873
305,390.0645156925258
306,390.06449995284436
307,390.06440296144774
308,390.0644782689007
309,390.0644438710267
310,390.0644482831092
311,390.0645316500244
312,390.06443594639296
313,390.0643561317229
314,390.0642974249032
315,390.06425246306594
316,390.06425705841207
317,390.0642225738098
318,390.0641712423899
319,390.06422226669747
320,390.06412913662405
321,390.06425391252117
322,390.06416490206806
323,390.06422995396736
324,390.0640406414659
325,390.06425745018066
326,390.0641602685405
327,390.06444429864393
328,390.0640936352916
329,390.0646483287426
330,390.06469055234294
331,390.0641187896834
332,390.06446260817967
333,390.0646788605242
334,390.0641549275212
335,390.06464724880954
336,390.0650199155633
337,390.06434309541834
338,390.0649347066185
339,390.06496626759974
340,390.0649921606293
341,390.0643195968114
342,390.06453484425896
