iteration,value
0,0.006509613877411227
1,-0.07114055651160768
2,-0.09628529719077811
3,-0.11483044636130403
4,-0.12879142353807213
5,-0.13955643712054777
6,-0.15098536006773797
7,-0.1640889894998036
8,-0.1789619313414415
9,-0.19550149771708716
10,-0.21274545686961552
11,-0.23056674802632868
12,-0.24711802344331832
13,-0.26050316265694096
14,-0.27241341546773684
15,-0.28760405453358506
16,-0.30723015821759975
17,-0.33129894127214043
18,-0.355472759361063
19,-0.37672199303230797
20,-0.392472403156745
21,-0.40932251087996596
22,-0.4293098994144238
23,-0.454899528693869
24,-0.4845086231746603
25,-0.5137094594310577
26,-0.5371429599754185
27,-0.5641554514203466
28,-0.5971958688679488
29,-0.6339897706116938
30,-0.6656101920963883
31,-0.7030281329325899
32,-0.742351937580103
33,-0.784664788787229
34,-0.8295837406080172
35,-0.878316859238919
36,-0.9279746801957677
37,-0.9858038074679769
38,-1.0421538932870105
39,-1.1041935628478203
40,-1.1661419066117027
41,-1.2362259142263494
42,-1.3115284393019677
43,-1.3965986557741819
44,-1.4905266214833484
45,-1.5939252193583817
46,-1.70914953700431
47,-1.8364954817624437
48,-1.9797454710455193
49,-2.137091507971465
50,-2.2957272121786647
51,-2.472564545769319
52,-2.6684991714820296
53,-2.8880518698722604
54,-3.1297828758351325
55,-3.370428144214001
56,-3.6424932347654186
57,-3.9459869262296903
58,-4.243148026627279
59,-4.578621168831524
60,-4.950313601325892
61,-5.322319094874215
62,-5.735068909378163
63,-6.195310823255227
64,-6.653598303232984
65,-7.1648611126391
66,-7.733840711749349
67,-8.302492351038676
68,-8.934787139277597
69,-9.637034152591871
70,-10.418225046298517
71,-11.200021987629603
72,-12.068831960950256
73,-12.936751130641229
74,-13.900034750334639
75,-14.97444479352878
76,-16.047194117287063
77,-17.23842975839787
78,-18.566409334185533
79,-19.889753106222066
80,-21.36358920181242
81,-22.999577798368218
82,-24.817622034796013
83,-26.63549341726609
84,-28.654452748297633
85,-30.670241980735014
86,-32.917092400134344
87,-35.40653416403102
88,-38.17771133943031
89,-40.94767117109533
90,-44.02428895273643
91,-47.44012302148054
92,-50.85614360083433
93,-54.6550932973941
94,-58.87618453555607
95,-63.09638494842497
96,-67.78544896940173
97,-72.99465475589247
98,-78.20120758974534
99,-83.98620097546025
100,-90.41411726601142
101,-96.83802178338125
102,-103.97522938027085
103,-111.90491055464015
104,-119.8314833354099
105,-128.63963417646417
106,-138.4198402751756
107,-148.1961390034417
108,-159.05448055645886
109,-171.11439291158274
110,-183.169319145514
111,-196.56296865457847
112,-211.43251335866609
113,-226.29390887954392
114,-242.80564678231832
115,-261.13511598297697
116,-279.46110737667516
117,-299.8003599622258
118,-322.3980169204555
119,-344.9726808179551
120,-370.0434402556369
121,-397.8852021434492
122,-425.7077602721756
123,-456.59854769458474
124,-490.8957720431485
125,-525.1680379668979
126,-563.2165597646102
127,-605.4524210834151
128,-647.6606807328009
129,-694.5050975358089
130,-746.511890548297
131,-798.4629741791861
132,-856.1353129299429
133,-920.1403938439262
134,-984.0775112252448
135,-1055.0365446946996
136,-1133.7772250730227
137,-1212.42021002234
138,-1299.6984568860094
139,-1396.537549609122
140,-1493.2442855054642
141,-1600.5362509627926
142,-1719.579753166859
143,-1838.4193299990707
144,-1970.2658879090288
145,-2116.5016141219257
146,-2262.4748208020387
147,-2424.3846668986657
148,-2603.936734842546
149,-2783.1188827623773
150,-2981.826132853187
151,-3199.758683487547
152,-3415.479322950568
153,-3649.975111676803
154,-3900.655962654145
155,-4144.405227098999
156,-4407.331816201728
157,-4686.31874237538
