iteration,value
0,791.1131100809474
1,238.55775766660736
2,112.59225792118669
3,328.5827936236184
4,294.1664286751231
5,32.149906530003854
6,26.980042250670955
7,22.30601636249524
8,18.107456093838067
9,14.38108231810996
10,11.141208968559955
11,8.39729120774146
12,6.138191738484234
13,4.343252218582338
14,2.9715138369942102
15,1.9653442361619962
16,1.2607731263066444
17,0.7868877239760098
18,0.4795190244344554
19,0.28891591180400744
20,0.1698067856438787
21,0.09984004054594793
22,0.06085300926115628
23,0.039814801100399345
24,0.02511803417031025
25,0.017120483529316034
26,0.0122542859301745
27,0.008500794444420732
28,0.006237031344276423
29,0.004536991288832703
30,0.0031986256122014636
31,0.002232294540127253
32,0.0015773386920094822
33,0.0010536531501744903
34,0.0007232721203715033
35,0.0004935509481895676
36,0.00034083533548400017
37,0.00023540982974615135
38,0.00016652512393879079
39,0.00011794254278591729
40,8.399621169516941e-05
41,6.024871014570054e-05
42,4.268134066856627e-05
43,3.0351163929735937e-05
44,2.1674824275390998e-05
45,1.562797151845373e-05
46,1.139359070054311e-05
47,8.305784237629405e-06
48,6.069393219920612e-06
49,4.483780022447262e-06
50,3.3020404195053937e-06
51,2.43456287149728e-06
52,1.8069325573449913e-06
53,1.3502883675319243e-06
54,1.009999455677531e-06
55,7.586400215926082e-07
56,5.743344822113842e-07
57,4.364731768237396e-07
58,3.325761689264837e-07
59,2.5472935374154435e-07
60,1.9597378099195457e-07
61,1.5128580062540475e-07
62,1.1718838093569717e-07
63,9.118128551388756e-08
64,7.121789869617358e-08
65,5.5819958950358367e-08
66,4.3909400397509526e-08
67,3.4666097092737656e-08
68,0.2226511126084457
69,0.4818161300187631
70,0.5137702812527398
71,0.17876041304924395
72,0.03388923597756311
73,0.017983134869139945
74,0.010220701277699603
75,0.006630700221912497
76,0.005013179502724682
77,0.003049498067218359
78,0.001953570224771725
79,0.001284286571456316
80,0.0009108295264522192
81,0.0005897220747373784
82,0.0004205497741148108
83,0.00026197192890457197
84,0.00018296188475909117
85,0.0001103946006163542
86,7.917322714413614e-05
87,5.1733601783345934e-05
88,3.6943309607675924e-05
89,2.5121134707971058e-05
90,1.8831786097697946e-05
91,1.1690194823702469e-05
92,7.98249746862819e-06
93,5.673105190017627e-06
94,3.875755228562131e-06
95,2.6300726766552537e-06
96,1.770861105488539e-06
97,1.2158566665763481e-06
98,8.344192976188322e-07
99,5.767861891865962e-07
100,3.8079471951142455e-07
101,2.638281187768541e-07
102,1.8488911502440673e-07
103,1.3012701876867176e-07
104,9.288390424970606e-08
105,6.596742821951891e-08
106,4.5220044069603495e-08
107,3.2204774491179494e-08
108,2.2611848473479968e-08
109,1.6096468126721037e-08
110,1.1145743658357889e-08
111,7.786632971016135e-09
112,5.500399156854639e-09
113,3.972279955076418e-09
114,2.8553155127831522e-09
115,2.0835938409850344e-09
116,1.506321210363029e-09
117,0.26160716109041315
118,0.8504201621414031
119,0.856856937968058
120,0.2455767872447124
121,0.04081407396621637
122,0.016829547651497714
123,0.008332271310408024
124,0.006163706989281887
125,0.00409856948641233
126,0.0028277900571652714
127,0.0020813638663461998
128,0.001309790704008086
129,0.000900233517337904
130,0.0005959230387856183
131,0.00033806263835995157
132,0.0002169196308981173
133,0.00014592147562214665
134,0.00011185216483674893
135,7.030980093238227e-05
136,5.228803460870594e-05
137,3.4600841294666006e-05
138,2.376312581463198e-05
139,1.673289071871708e-05
140,1.1408427543495541e-05
141,7.739551167787358e-06
142,5.505989979246248e-06
143,3.6295555780031573e-06
144,2.499460480078037e-06
145,1.6098834029804372e-06
146,1.1287889594142103e-06
147,7.768383521168736e-07
148,5.614646652967196e-07
149,3.845101044528616e-07
150,2.7310942731535643e-07
151,1.9475825085415113e-07
152,1.3736203417118787e-07
153,9.624090366644342e-08
154,6.855705170809205e-08
155,4.834539284969288e-08
156,3.369360861360148e-08
157,2.378161446308403e-08
158,1.689618036054181e-08
159,1.1828861661415512e-08
160,8.412566256059343e-09
161,5.981246946606283e-09
162,4.26710518129241e-09
163,3.076632366563904e-09
164,2.1995987203045706e-09
165,1.5766334800652622e-09
166,1.1391824175204817e-09
167,8.304670623261631e-10
168,6.064899308347142e-10
169,4.4592820546605185e-10
170,3.294472161453665e-10
171,2.441943941027021e-10
172,1.8183825152529494e-10
173,1.3573461122833689e-10
174,1.0205636776351744e-10
175,7.675590570081511e-11
176,5.8191953613444094e-11
177,4.426742702487929e-11
178,3.3810930803605007e-11
179,2.594521385767036e-11
180,1.999178406973682e-11
181,1.5459814894921955e-11
182,1.1999594652589197e-11
183,9.354418711927447e-12
184,7.316339064132827e-12
185,5.7433594654660746e-12
186,4.524848473112734e-12
187,3.5764623091917303e-12
188,2.8368015993175456e-12
189,2.2576124951207862e-12
190,1.802379279665275e-12
191,1.4433669452053546e-12
192,1.159274509543218e-12
193,9.338267473644889e-13
194,7.544323915191832e-13
195,6.111709134998433e-13
196,4.964348088738348e-13
197,4.0431118462519204e-13
198,3.301513527336466e-13
199,2.7029290491022703e-13
