iteration,value
0,75.39748123495184
1,249.5327380517824
2,26.23663872106205
3,6.099843108218093
4,3.109058337438933
5,2.3341097688047316
6,1.9363902615512407
7,1.6286821792897688
8,1.3649555512614457
9,1.1339524791074391
10,0.9321173505364764
11,0.7402342208495354
12,0.5804665148403095
13,0.4493474363064676
14,0.3432661517142911
15,0.25951437773244757
16,0.19399071748522367
17,0.14323791918460083
18,0.10472014515465354
19,0.07550852102896882
20,0.05373555926021202
21,0.03784521212946487
22,0.02645368904190205
23,0.018327685124695618
24,0.01255521999998611
25,0.00853669185859169
26,0.005759219200828074
27,0.00386745265277574
28,0.002579363410886442
29,0.0017856003978753967
30,0.0012775241319463065
31,0.000936504052086837
32,0.0007005400972085944
33,0.0005336329893063719
34,0.0004128366026192085
35,0.00032360102479790485
36,0.0002503617625997189
37,0.00019641264520623252
38,0.0001560715175169328
39,0.00012547286778929326
40,0.00010197296218934248
41,8.184231221936594e-05
42,6.640581576265618e-05
43,5.44351022343541e-05
44,4.412353100201243e-05
45,3.6096810665339275e-05
46,2.9798346265177066e-05
47,2.43333131750109e-05
48,2.0039970091266593e-05
49,1.664685261519658e-05
50,1.3674292277325152e-05
51,1.1328509701795884e-05
52,9.459914801752213e-06
53,7.805618561223776e-06
54,6.4929572526052515e-06
55,5.4469106638360695e-06
56,4.517378080248946e-06
57,3.7769331993720305e-06
58,3.1212664333302033e-06
59,2.6016013695179534e-06
60,2.185206515496104e-06
61,1.812957382168961e-06
62,1.5157213949004878e-06
63,1.2770339051775928e-06
64,1.06327541753856e-06
65,8.91794511453745e-07
66,7.385037627778839e-07
67,6.170018528632159e-07
68,5.196258957733671e-07
69,4.322294631924929e-07
70,3.625081945204343e-07
71,3.0028185702637205e-07
72,2.507140017740056e-07
73,2.1108337971888844e-07
74,1.7566191122744965e-07
75,1.4738637627635592e-07
76,1.2452914911728317e-07
77,1.0400115237914946e-07
78,8.7492220970595e-08
79,7.27253681921937e-08
80,6.093187611074816e-08
81,5.1441743544231155e-08
82,4.292189957931898e-08
83,3.60931160802863e-08
84,2.998729652919953e-08
85,2.510172416142978e-08
86,2.1152603517413676e-08
87,1.7625241490526006e-08
88,1.4807981153000345e-08
89,1.2302886257658136e-08
90,1.0308557146311686e-08
91,8.695292777711835e-09
92,7.2504975543757914e-09
93,6.089822889585523e-09
94,5.05653440807238e-09
95,4.230785309689923e-09
96,3.5664350120563775e-09
97,1.6508992941148349e-09
98,4.990808498468028e-12
99,5.611600304667391e-13
100,1.3789090870864952e-13
101,4.7790633593160093e-14
102,2.0695138467781902e-14
103,1.0308372701826363e-14
104,5.7158291965072195e-15
105,3.406227458036639e-15
106,2.1390672823374232e-15
107,1.4012819406090667e-15
108,9.536556651951376e-16
109,6.717769813674497e-16
