iteration,value
0,5.856356147796612
1,-5.254663095220102
2,-12.139657459228399
3,-22.657981054437027
4,-36.186575011682
5,-54.26787119000681
6,-77.82513420118862
7,-107.90376755830293
8,-145.78145836561097
9,-188.04695553140388
10,-239.22646385902135
11,-301.061256891965
12,-375.6832613780046
13,-465.6841164125413
14,-563.2160849315123
15,-679.1563127256818
16,-817.3118560787294
17,-982.2365343739111
18,-1159.7111556942455
19,-1369.953114248257
20,-1619.509759218393
21,-1886.6286508681617
22,-2202.6701143235687
23,-2577.777891926328
24,-2978.230391870361
25,-3451.165047098007
26,-3961.227215386329
27,-4489.06085461167
28,-5119.0149761508055
29,-5870.992144024026
30,-6661.087102255395
31,-7281.31467952722
32,-7959.089631529026
33,-8704.078987152629
34,-9437.796038658922
35,-9671.325981726242
36,-9936.630664130349
37,-10242.853266445816
38,-10434.709181182798
39,-10568.367624709934
40,-10707.90966020452
41,-10792.89968269134
42,-10840.516330339035
43,-10921.560713400018
44,-10995.60215851359
45,-10978.87072299751
46,-11007.176169745342
47,-11174.638002084084
48,-10998.311904557517
49,-11011.940770695128
50,-11007.390209709036
51,-10995.872205118296
52,-10957.245838375133
53,-10957.416146755564
54,-10964.862811937151
55,-10969.444908338433
56,-10972.995895180951
57,-11087.747416105676
58,-11563.88183492591
59,-11594.22197394855
60,-11603.7642057521
61,-11106.490289047042
62,-11362.496048313138
63,-11402.30806745489
64,-11427.156766495427
65,-11826.324883796773
66,-12159.215618356966
67,-12159.411292502622
68,-12158.515589796103
69,-12177.994762336688
70,-12513.617291682682
71,-12512.156061975355
72,-12432.663620407586
73,-12426.815136851948
74,-12429.831845796207
75,-12754.854350635622
76,-12797.158867363629
77,-12798.293464132148
78,-13923.156983915593
79,-13923.157180304095
80,-13923.364376994505
81,-13923.548005067667
82,-13924.17413444105
83,-13924.288573361937
84,-13924.274756047364
85,-13917.710395639973
86,-13977.791362425127
87,-15215.777709352138
88,-14967.494182851007
89,-14995.200980214377
90,-14995.332067547588
91,-15045.862361293499
92,-15063.040939855737
93,-15075.866732528319
94,-16167.96472093431
95,-16167.968124302879
96,-16167.96914464166
97,-16167.969291022895
98,-17167.718132604532
99,-17167.71812802367
100,-17167.7226865786
101,-17167.72298278499
102,-17167.727884216663
103,-17170.57976074287
104,-17170.59163696634
105,-17182.19361365238
106,-17182.211672427704
107,-17193.805187941452
108,-17204.10597853499
109,-17213.427571775996
110,-17221.970493838762
111,-17229.851111024665
112,-18490.718117455872
113,-18490.718117954795
114,-18490.718118814366
115,-18491.089915766464
116,-18491.50091455753
117,-18828.707806578746
118,-18839.690927033236
119,-18850.500453734854
120,-20895.233340916166
121,-20895.233342775853
122,-22226.95089568601
123,-22227.053960009045
124,-22475.664515279652
125,-22498.42181407798
126,-26987.1814615061
127,-26827.206684613015
128,-26827.211057339606
129,-26827.21106654309
130,-26827.218019723554
131,-26827.293532618583
132,-26827.31597007596
133,-26827.617811400865
134,-28240.249591110885
135,-28240.73354221501
136,-30729.529518490494
137,-30730.981551659057
138,-30730.983225254255
139,-30732.77264708578
140,-30732.774707704393
141,-29327.468055335685
142,-29327.467868160413
143,-29327.46766018837
144,-29326.154470760535
145,-29324.728049536232
146,-29324.727777531243
147,-31928.47708820409
148,-31773.4860668656
149,-31773.48390250718
150,-31773.483901514537
151,-31773.481230636873
152,-31757.182801535655
153,-31744.067863747066
154,-31365.51306505123
155,-31365.513587828347
156,-31402.783439641782
157,-31402.78504724225
158,-31480.137447021494
159,-34761.723599499164
160,-37950.94907679598
161,-37950.9490775075
162,-37950.94907750755
163,-37950.94907838558
164,-37950.94907936069
