iteration,value
0,4144.754783732598
1,517576.5828791044
2,20092.305988620912
3,12040.219186596121
4,8017.389833912691
5,5970.480271240159
6,4603.308707104339
7,3760.391683523645
8,3200.990172694457
9,2811.3683643136164
10,2528.4428472536147
11,2320.38646712786
12,2163.2113826438517
13,2043.4706841433895
14,1950.4677951055403
15,1879.4360599306742
16,1823.2711889122843
17,1771.8261666518993
18,1732.3981780582014
19,1703.355693751114
20,1680.2706563224754
21,1661.7898326592015
22,1647.0327835206406
23,1634.783662341907
24,1620.895000418374
25,1606.99133831667
26,1591.5743379628448
27,1579.8172468627617
28,1567.3319327806107
29,1556.7626145901531
30,1538.8978928480126
31,1524.917198739515
32,1516.5431935660363
33,1488.181311720417
34,1471.2209573835355
35,1471.244925635318
36,1451.8645925288731
37,1427.7769163674375
38,1427.8506479633031
39,1392.5061965855527
40,1403.6690137852945
41,1372.6846994751838
42,1359.9374562412972
43,1398.066523693808
44,1411.277270226643
45,1378.075560644564
46,1314.0567280437072
47,1405.7116226346757
48,1390.81461184803
49,1376.6745070429265
50,1397.6428296874456
51,1336.0660014885232
52,1303.9473641784966
53,1318.2490476263604
54,1352.4011272881176
55,1340.79726079897
56,1279.7971780341604
57,1318.8849415285772
58,1319.1150861956899
59,1372.7210036545728
60,1377.0818194440676
61,1506.4896837544045
62,1503.5739959450666
63,1482.6937191580223
64,1528.2516027839106
65,1566.2088177832984
66,1672.529862942486
67,1728.3073526947564
68,2099.223162855832
69,2648.010483764401
70,2865.1053792186754
71,3016.8155145407627
72,3000.1554554882746
73,3048.4023137286886
74,3029.8406921994742
75,3184.82223402922
76,3248.3351251242702
77,3267.9689883037126
78,3355.7582085775084
79,3366.308682200714
80,3299.383584399785
81,3089.555722642666
82,3021.3529612423963
83,3023.266259151357
84,2964.6832842158474
85,2991.080847783093
86,2968.721191671048
87,2965.9503985666356
88,2957.8443095680723
89,2947.9849217694145
90,2969.074918743089
91,3090.911520234722
92,3094.961004863249
93,3135.452453344339
94,3147.3295973197755
95,3159.5519373799434
96,3175.3613983358346
97,3178.0178246044306
98,3181.8122256179877
99,3187.749672919939
100,3188.217271552368
101,3198.7163402517112
102,3199.587595569614
103,3204.8305278365847
104,3211.385085332305
105,3181.691512919833
