iteration,value
0,75.1928002298645
1,141.19803943032298
2,10.984859996063545
3,4.088502517590429
4,3.0558771520404555
5,2.5510226825058138
6,2.1705383922938197
7,1.8493542176219417
8,1.572329568967572
9,1.3336938197572727
10,1.1295003752737622
11,0.9558367557883981
12,0.8084188717073916
13,0.6830074514872161
14,0.5772407843629497
15,0.4886443984706612
16,0.41340785204746744
17,0.3499720739690211
18,0.296352774600887
19,0.2507552717632082
20,0.21254128529780242
21,0.18054687012117096
22,0.15360386508532436
23,0.1308300496388734
24,0.11146148114618604
25,0.0950299567503848
26,0.08086207057822756
27,0.06875655745626846
28,0.058415471301318384
29,0.04965199875712003
30,0.04224906102619592
31,0.0359128988468613
32,0.030488560582910627
33,0.02586531954001866
34,0.021900250940510707
35,0.018823839816659856
36,0.016149692620044166
37,0.014041158846243846
38,0.012175873486730278
39,0.010678114307951464
40,0.009338138563426888
41,0.008249418594083421
42,0.007265017568462223
43,0.006462007556850099
44,0.005726798745526765
45,0.005118525570681619
46,0.004555276308118513
47,0.0040392229692274755
48,0.003609941911097277
49,0.0032135094383959006
50,0.002883205015382012
51,0.0025765167060230318
52,0.00231880634064197
53,0.002078592607490665
54,0.0018556214996322115
55,0.0016701328036783888
56,0.0014977782811618308
57,0.0013522054406759475
58,0.0012158150610559598
59,0.001088655439546024
60,0.0009814919321586492
61,0.0008814915437153701
62,0.000796966477567838
63,0.0007172567949521873
64,0.0006434240379833174
65,0.0005811062409579254
66,0.0005223842353090458
67,0.0004727262029151793
68,0.00042607641258464104
69,0.00038229255499084815
70,0.00034544590599293237
71,0.0003111425196085128
72,0.00028206361030149216
73,0.00025462663712791427
74,0.00022897876060815484
75,0.00020721857483581207
76,0.00018673562604959183
77,0.00016940230322146674
78,0.00015302771057049082
79,0.00013762179516273773
80,0.00012454862170652425
81,0.00011233352019159796
82,0.00010199909281023318
83,9.222959176978117e-05
84,8.306038690736042e-05
85,7.527652774187014e-05
86,6.793382788309892e-05
87,6.167810047537975e-05
88,5.574048837398351e-05
89,5.0156061382544195e-05
90,4.543838310083554e-05
91,4.09824077425812e-05
92,3.68224844761427e-05
93,3.330099559989015e-05
94,2.9992236079703167e-05
95,2.7190796675085177e-05
96,2.4531073834934856e-05
97,2.205896944695435e-05
98,1.995880458520505e-05
99,1.7980710158173506e-05
100,1.6294617828031706e-05
101,1.4702278204034692e-05
102,1.3214135025771543e-05
103,1.195621018942938e-05
104,1.0774804049420322e-05
105,9.771501405558303e-06
106,8.825022600236999e-06
107,7.93279986472594e-06
108,7.175611776397311e-06
109,6.466086012340647e-06
110,5.861935150482001e-06
111,5.293489475419431e-06
112,4.759878395186677e-06
113,4.307605746319312e-06
114,3.8789822747640215e-06
115,3.5137320238357646e-06
116,3.1708358491180087e-06
117,2.849814987208941e-06
118,2.5771081322304473e-06
119,2.321511505893286e-06
120,2.1041678071257195e-06
121,1.8980645407733044e-06
122,1.7049328059130408e-06
123,1.5415964167723226e-06
124,1.3880823344938278e-06
125,1.2578172596121275e-06
126,1.134730562612961e-06
127,1.0193090998063735e-06
128,9.212392901944703e-07
129,8.28974694919863e-07
130,7.508740961999767e-07
131,6.770503999708851e-07
132,6.078645902075306e-07
133,5.49284463713966e-07
134,4.941612112361557e-07
135,4.476346940438559e-07
136,4.036976298108991e-07
137,3.625423805870028e-07
138,3.27655652554921e-07
139,2.950584623200089e-07
140,2.673480743423932e-07
141,2.4122975817219663e-07
142,2.1680236221194887e-07
143,1.9632544948496905e-07
144,2.185706075409878e-09
145,7.562231148121782e-10
146,3.9565173642162713e-10
147,2.520519504812159e-10
148,1.775165407493556e-10
149,1.3300737722333126e-10
150,1.0383487396744761e-10
151,8.366856922716732e-11
152,6.9173032849704e-11
153,5.842056076467228e-11
154,5.020042266619602e-11
155,4.3756093564509796e-11
156,3.8566141834422854e-11
157,3.4325433455148125e-11
158,3.079473575367103e-11
159,2.7827797116674113e-11
160,2.530376509880062e-11
161,2.314587488408144e-11
162,2.127054253844588e-11
163,1.962227453096976e-11
164,1.8171012405865977e-11
165,1.689124240003803e-11
166,1.5753754255398954e-11
167,1.4732266577681462e-11
168,1.3814492306895868e-11
169,1.2987919738706012e-11
170,1.223914979100628e-11
171,1.1556613818553587e-11
172,1.0933581993087403e-11
173,1.0364103982165716e-11
174,9.841733503356254e-12
175,9.361399795966125e-12
176,8.91644421014491e-12
177,8.505334946248642e-12
178,8.123958297489936e-12
179,7.769483127822627e-12
180,7.438939584932584e-12
181,7.1298356011586604e-12
182,6.84153492721231e-12
183,6.570907277096431e-12
184,6.317723518723694e-12
185,6.080232230456589e-12
186,5.8570599171615505e-12
187,5.64665615313673e-12
188,5.447857713343281e-12
189,7.630952673191193e-13
190,3.1925358517501454e-13
191,1.8029531789971205e-13
192,1.189901640911563e-13
193,8.533939104011333e-14
194,6.520743877111823e-14
195,5.204795722714348e-14
196,4.259059421661955e-14
197,3.560795814318849e-14
198,3.028341057367945e-14
199,2.6129266091160243e-14
200,2.2836493235139106e-14
201,2.0174393449894757e-14
202,1.7966584142617754e-14
203,1.6109027886079996e-14
204,1.4540531457681872e-14
