iteration,value
0,4.677625041939959
1,-85.24135905049025
2,-268.67474558186143
3,-512.0454233847705
4,-774.7024914077892
5,-1056.451304144903
6,-1361.9596321048903
7,-1697.513239515422
8,-2070.4595160052468
9,-2489.3255304285994
10,-2964.075857880696
11,-3506.501155757625
12,-4130.7153999139
13,-4779.167087344849
14,-5524.541749852965
15,-6387.104603137249
16,-7288.200901117326
17,-8330.325382815432
18,-9542.997143000264
19,-10816.59791717915
20,-12297.319128759904
21,-14028.635001464538
22,-15855.315047147133
23,-17988.753980233836
24,-20493.462554698228
25,-23146.577630699096
26,-26256.704178541677
27,-29921.498981481178
28,-33817.3605785799
29,-38397.11481211351
30,-43809.78501198743
31,-49260.04432126269
32,-55720.23316836481
33,-63392.96199493457
34,-69126.49382230629
35,-74859.88765987249
36,-79975.5959944816
37,-84271.42000726527
38,-89277.09378369655
39,-93766.19615732155
40,-96764.95593811621
41,-97765.03983619285
42,-98014.04118907993
43,-98252.66086069311
44,-98529.83214397574
45,-98841.31041204504
46,-98906.60802858773
47,-99366.18775280629
48,-99729.61881673723
49,-101497.28031429477
50,-102063.8680296127
51,-102007.78268455785
52,-102237.03993184489
53,-102803.24609128732
54,-102819.46569895545
55,-102393.39991324546
56,-101976.44902503771
57,-101901.82570298853
58,-101831.36544015507
59,-103726.88076070469
60,-103727.9890048085
61,-103727.84957720718
62,-105984.88889905906
63,-105581.04421967237
64,-105654.69980461268
65,-112610.56055991765
66,-112690.05612058623
67,-112751.04814419427
68,-112793.89169305653
69,-117891.93191635278
70,-117891.92282011229
71,-117765.51187168507
72,-120266.89184784562
73,-126885.36967782589
74,-126885.3696777341
75,-126885.36962288727
76,-126885.36955838614
77,-126885.3694866972
78,-126885.36940970557
79,-126885.36940949467
80,-126885.36915102108
81,-126885.3681310965
82,-126885.36812779526
83,-126885.36812779037
84,-126885.36812778494
85,-126885.36812389518
86,-126885.36812095658
87,-126885.36500562885
88,-126885.39468471553
89,-126885.04454397957
90,-126884.73388699949
91,-126881.50951602352
92,-126878.09264953899
93,-126513.86196086898
94,-126513.86017041616
