iteration,value
0,0.17590066279927274
1,-239.7194649326591
2,-730.5757843677022
3,-1286.4578350412587
4,-1799.090234823899
5,-2232.0520033008333
6,-2588.4576255655115
7,-2878.3623526065953
8,-3113.2979661549434
9,-3304.775691829364
10,-3461.5195473778776
11,-3589.8870594994
12,-3695.563541705759
13,-3783.017370229282
14,-3855.763190134253
15,-3916.5746455021654
16,-3967.4021001139413
17,-4010.071761321645
18,-4046.043790208458
19,-4076.3442203968607
20,-4101.963177056613
21,-4123.702026518913
22,-4142.2122428231805
23,-4157.948993967067
24,-4171.369784960941
25,-4182.850118321401
26,-4192.6517046176705
27,-4201.043317949552
28,-4208.24722713586
29,-4214.417936514585
30,-4219.8053030008705
31,-4224.643585655423
32,-4229.095523177461
33,-4233.274415702059
34,-4237.259342876533
35,-4241.105660129541
36,-4244.852246443813
37,-4248.526515713353
38,-4252.147886830146
39,-4255.7301902369
40,-4259.283339599713
41,-4262.814494976655
42,-4266.328873621369
43,-4269.8303162672255
44,-4273.3216834850855
45,-4276.805133778833
46,-4280.282319249739
47,-4283.754523712222
48,-4287.222760562522
49,-4290.687842445898
50,-4294.150431119515
51,-4297.611073372598
52,-4301.070227101452
53,-4304.528280408105
54,-4307.985565734643
55,-4311.442370447155
56,-4314.898944865221
57,-4318.355508440374
58,-4321.8122545818815
59,-4325.269354484469
60,-4328.726960211319
61,-4332.185207214389
62,-4335.644216423878
63,-4339.104096002814
64,-4342.564942837447
65,-4346.026843816076
66,-4349.489876935767
67,-4352.954112267221
68,-4356.419612801002
69,-4359.886435193538
70,-4363.354630427375
71,-4366.824244397549
72,-4370.295318433699
73,-4373.767889765992
74,-4377.241991941604
75,-4380.717655197543
76,-4384.194906794741
77,-4387.6737713177245
78,-4391.15427094359
79,-4394.636425683561
80,-4398.120253600044
81,-4401.605771001699
82,-4405.092992618879
83,-4408.5819317613505
84,-4412.072600460214
85,-4415.565009595547
86,-4419.0591690112915
87,-4422.555087618606
88,-4426.052773488898
89,-4429.552233937554
90,-4433.053475599293
91,-4436.556504496023
92,-4440.061326097883
93,-4443.567945378237
94,-4447.076366863157
95,-4450.586594675973
96,-4454.098632577397
97,-4457.612484001627
98,-4461.128152088869
99,-4464.645639714608
100,-4468.164949515979
101,-4471.686083915472
102,-4475.209045142336
103,-4478.733835251804
104,-4482.2604561424005
105,-4485.788909571576
106,-4489.319197169715
107,-4492.851320452818
108,-4496.385280833865
109,-4499.921079633074
110,-4503.458718087145
111,-4506.998197357565
112,-4510.539518538097
113,-4514.082682661517
114,-4517.627690705689
115,-4521.174543599029
116,-4524.723242225433
117,-4528.273787428689
118,-4531.826180016494
119,-4535.380420764034
120,-4538.936510417209
121,-4542.494449695565
122,-4546.0542392949155
123,-4549.615879889693
124,-4553.179372135082
125,-4556.744716668936
126,-4560.311914113505
127,-4563.880965076984
128,-4567.45187015491
129,-4571.024629931424
130,-4574.599244980407
131,-4578.175715866507
132,-4581.754043146038
133,-4585.334227367833
134,-4588.916269073966
135,-4592.500168800448
136,-4596.085927077808
137,-4599.67354443166
138,-4603.263021383176
139,-4606.854358449527
140,-4610.447556144296
141,-4614.04261497782
142,-4617.639535457524
143,-4621.238318088204
144,-4624.838963372289
145,-4628.441471810077
146,-4632.045843899956
147,-4635.652080138574
148,-4639.260181021034
149,-4642.8701470410315
150,-4646.481978691006
151,-4650.095676462256
152,-4653.711240845056
153,-4657.328672328764
154,-4660.947971401907
155,-4664.569138552264
156,-4668.192174266937
157,-4671.817079032429
158,-4675.4438533346965
159,-4679.0724976591955
160,-4682.703012490944
161,-4686.335398314566
162,-4689.96965561432
163,-4693.60578487415
164,-4697.243786577697
165,-4700.883661208342
166,-4704.525409249236
167,-4708.169031183308
168,-4711.814527493306
169,-4715.4618986617925
170,-4719.111145171183
171,-4722.762267503751
172,-4726.415266141639
173,-4730.070141566883
174,-4733.72689426141
175,-4737.38552470706
176,-4741.046033385579
177,-4744.708420778647
178,-4748.372687367878
179,-4752.038833634814
180,-4755.70686006095
181,-4759.376767127732
182,-4763.048555316551
183,-4766.722225108767
184,-4770.397776985703
185,-4774.075211428647
186,-4777.7545289188565
187,-4781.435729937561
188,-4785.1188149659665
189,-4788.80378448526
190,-4792.490638976596
191,-4796.17937892113
192,-4799.870004799988
193,-4803.562517094281
194,-4807.256916285116
195,-4810.953202853581
196,-4814.651377280748
197,-4818.351440047693
198,-4822.053391635469
199,-4825.757232525126
200,-4829.462963197709
201,-4833.170584134248
202,-4836.880095815775
203,-4840.591498723316
204,-4844.304793337885
205,-4848.019980140497
206,-4851.737059612158
207,-4855.456032233871
208,-4859.176898486641
209,-4862.899658851462
210,-4866.624313809323
211,-4870.350863841218
212,-4874.0793094281335
213,-4877.809651051054
214,-4881.541889190962
215,-4885.276024328837
216,-4889.01205694566
217,-4892.749987522403
218,-4896.48981654004
219,-4900.23154447954
220,-4903.975171821876
221,-4907.720699048013
