iteration,value
0,93.74984639734888
1,9.644261332060095
2,6.0958540552103475
3,4.3160093120426435
4,3.0069085805505384
5,2.0435470428525533
6,1.3555698589626721
7,0.8564560953620084
8,0.48843081112853093
9,0.22018634278466442
10,0.01732941009558897
11,-0.13842824823611966
12,-0.25969961478811976
13,-0.3557630764208837
14,-0.4324025178744758
15,-0.493562867321629
16,-0.5433183542251352
17,-0.5841154000277
18,-0.6178722640352065
19,-0.6463090766951749
20,-0.6704640553600463
21,-0.6910736452338849
22,-0.7087542703214137
23,-0.7239948506772407
24,-0.7371846669242421
25,-0.7486316396838744
26,-0.7585884594298593
27,-0.7672707255087448
28,-0.7748562213007553
29,-0.7814941990533131
30,-0.7873110308918165
31,-0.7924141849336378
32,-0.7969021144102734
33,-0.80097465712066
34,-0.8047757200966368
35,-0.8084090892834697
36,-0.8119493514486142
37,-0.8154495742651976
38,-0.8189468574506795
39,-0.822466397296264
40,-0.8260244805263258
41,-0.8296307389664983
42,-0.833289848273262
43,-0.8370028106330767
44,-0.8407679495981978
45,-0.8445816495170896
46,-0.848438940291597
47,-0.8523339364196715
48,-0.8562601837067236
49,-0.8602109022955557
50,-0.8641791942946992
51,-0.8681581900739422
52,-0.8721411488523323
53,-0.8761215533602253
54,-0.8800931452156678
55,-0.8840499764860242
56,-0.8879864207082755
57,-0.891897187756883
58,-0.8957773288372768
59,-0.899622238695953
60,-0.903427640056135
61,-0.9071895707728305
62,-0.9109043820863941
63,-0.9145687086667984
64,-0.9181794632864422
65,-0.9217338121297657
66,-0.9252291757304512
67,-0.9286632000099012
68,-0.9320337422840521
69,-0.935338859730194
70,-0.9385767978450293
71,-0.9417459848344997
72,-0.9448450069211458
73,-0.9478726081900171
74,-0.9508276737210879
75,-0.9537092314588234
76,-0.9565164355110698
77,-0.9592485615717932
78,-0.9619050074514973
79,-0.9644852782346469
80,-0.9669889881788742
81,-0.9694158549128717
82,-0.9717656950639771
83,-0.9740384245475677
84,-0.9762340536059868
85,-0.9783526843339521
86,-0.9803945118405346
87,-0.9823598197348737
88,-0.9842489845269503
89,-0.9860624690160222
90,-0.9878008274408486
91,-0.9894647027182
92,-0.9910548234222196
93,-0.9925720099878479
94,-0.9940171765859933
95,-0.9953913228392461
96,-0.9966955393335891
97,-0.9979310049033954
98,-0.9990989943268942
99,-1.0002008678133103
100,-1.001238079267976
101,-1.0022121728302018
102,-1.003124784846709
103,-1.0039776337427435
104,-1.0047725182730727
105,-1.0055113323846767
106,-1.0061960445765863
107,-1.006828690070086
108,-1.007411376605623
109,-1.007946276023912
110,-1.008435612373287
111,-1.0088816640919138
112,-1.0092867420432379
113,-1.0096531891515452
114,-1.0099833547971215
115,-1.0102795962608278
116,-1.0105420426617286
117,-1.0107739055167468
118,-1.0109782433206596
119,-1.011155805150439
120,-1.0113086449977164
121,-1.0114408080681194
122,-1.0115549856104749
123,-1.0116533367436997
124,-1.0117373731587718
125,-1.0118079151243833
126,-1.0118684805535465
127,-1.0119196493337674
128,-1.0119634628454968
129,-1.0120008916947592
130,-1.0120323177629036
131,-1.0120588005074223
132,-1.0120812135608266
133,-1.012100310813376
134,-1.0121163858462545
135,-1.0121298531966936
136,-1.0121412453610008
137,-1.01215091662315
138,-1.0121590963185563
139,-1.0121659311481923
140,-1.0121717341678536
141,-1.012176743868634
142,-1.0121810949334737
143,-1.0121849483072802
144,-1.0121883913576741
145,-1.012191540292614
146,-1.0121944169457093
147,-1.012196676695046
148,-1.0121838583947664
149,-0.8046227972992182
150,8.143198555435017
151,17.184017719425977
152,20.495380248969106
153,24.83119715862638
154,25.979792133363922
155,26.666073247624716
156,26.9914594223443
157,27.16480256349823
158,27.243909104057625
159,27.34770726526293
160,27.366327454980613
161,27.378154510245817
162,27.383588516125947
163,27.384772895080367
164,27.398617199283127
165,27.41754389235454
166,27.423068840970807
167,27.43219415731686
168,27.44265718231828
169,27.455595680965953
170,27.464927547633657
171,27.471708771259646
172,27.47654515103105
173,27.479091490550616
174,27.47948125563179
175,27.4811489044303
176,27.48117241702041
177,27.482402688498684
178,27.482868006837933
179,27.48756280248894
180,27.487040187333676
181,27.48412277252423
182,27.4847955070717
183,27.487579391203564
184,27.487166954397704
185,27.4872597034665
186,27.48683229470407
187,27.485746808877312
188,27.48488664860766
189,27.48665029936536
190,27.486258702719795
191,27.487401492716387
192,27.48840881159685
193,27.48866826506343
194,27.487992918062847
195,27.489212283777867
196,27.48750089402231
